cell_id,Muscicapa striata,Muscicapa striata [striata Group],Muscicapa striata tyrrhenica/balearica
84074edffffffff,4.0,0.0,0.0
84075d1ffffffff,2.0,0.0,0.0
84075d9ffffffff,4.0,0.0,0.0
8407621ffffffff,2.0,0.0,0.0
8407623ffffffff,5.0,0.0,0.0
8407635ffffffff,16.0,0.0,0.0
8407739ffffffff,3.0,0.0,0.0
840880bffffffff,2.0,2.0,0.0
8408843ffffffff,2.0,2.0,0.0
840888dffffffff,1.0,0.0,0.0
8409805ffffffff,2.0,0.0,0.0
840982bffffffff,2.0,0.0,0.0
8409993ffffffff,2.0,2.0,0.0
8409a09ffffffff,6.0,0.0,0.0
8409a4dffffffff,12.0,0.0,0.0
840bb03ffffffff,1.0,1.0,0.0
841126dffffffff,4.0,2.0,0.0
8411811ffffffff,3.0,3.0,0.0
8411813ffffffff,1.0,1.0,0.0
841181dffffffff,3.0,3.0,0.0
8411ab9ffffffff,4.0,4.0,0.0
8411ae3ffffffff,13.0,13.0,0.0
84180cdffffffff,2.0,0.0,0.0
8418281ffffffff,1.0,0.0,0.0
84182c1ffffffff,2.0,0.0,0.0
8418495ffffffff,18.0,0.0,0.0
8418499ffffffff,1.0,1.0,0.0
84184b5ffffffff,3.0,3.0,0.0
84184bdffffffff,8.0,8.0,0.0
8418597ffffffff,1.0,1.0,0.0
84185b5ffffffff,2.0,0.0,0.0
84185bbffffffff,1.0,1.0,0.0
8418697ffffffff,2.0,2.0,0.0
841870dffffffff,2.0,0.0,0.0
8418729ffffffff,2.0,0.0,0.0
841875dffffffff,2.0,0.0,0.0
84190d3ffffffff,2.0,2.0,0.0
84190ebffffffff,2.0,0.0,0.0
84192c3ffffffff,1.0,0.0,0.0
8419401ffffffff,4.0,4.0,0.0
8419413ffffffff,7.0,5.0,0.0
8419421ffffffff,2.0,0.0,0.0
8419423ffffffff,4.0,0.0,0.0
8419427ffffffff,8.0,0.0,0.0
841942bffffffff,3.0,0.0,0.0
841942dffffffff,1.0,0.0,0.0
8419485ffffffff,1.0,1.0,0.0
841948dffffffff,5.0,5.0,0.0
84194a5ffffffff,1.0,0.0,0.0
84194ebffffffff,2.0,0.0,0.0
8419507ffffffff,2.0,0.0,0.0
8419591ffffffff,68.0,3.0,0.0
841959dffffffff,4.0,0.0,0.0
84195bbffffffff,2.0,0.0,0.0
84195d3ffffffff,1.0,1.0,0.0
84195ddffffffff,2.0,2.0,0.0
84196dbffffffff,1.0,0.0,0.0
8419729ffffffff,2.0,0.0,0.0
841972bffffffff,1.0,0.0,0.0
841e037ffffffff,2.0,0.0,0.0
841e0e7ffffffff,3.0,0.0,0.0
841e1b3ffffffff,6.0,0.0,0.0
841e831ffffffff,2.0,0.0,2.0
841e835ffffffff,4.0,3.0,0.0
841e8dbffffffff,2.0,0.0,0.0
841ea53ffffffff,2.0,0.0,0.0
841eb0bffffffff,1.0,1.0,0.0
841ec09ffffffff,1.0,0.0,0.0
841ec21ffffffff,2.0,0.0,0.0
841ec23ffffffff,1.0,0.0,0.0
841ec33ffffffff,2.0,0.0,0.0
841ec47ffffffff,1.0,0.0,0.0
841ec91ffffffff,2.0,0.0,0.0
841ece7ffffffff,2.0,0.0,0.0
841ed91ffffffff,4.0,0.0,0.0
841ed93ffffffff,2.0,1.0,0.0
841eda7ffffffff,5.0,0.0,0.0
841edc1ffffffff,4.0,0.0,0.0
841ef01ffffffff,1.0,0.0,0.0
841ef2dffffffff,1.0,0.0,0.0
841f09bffffffff,1.0,0.0,0.0
841f283ffffffff,7.0,7.0,0.0
841f2a3ffffffff,12.0,10.0,0.0
841f317ffffffff,1.0,1.0,0.0
841f463ffffffff,1.0,0.0,0.0
841f60bffffffff,2.0,0.0,0.0
841f725ffffffff,1.0,0.0,0.0
841f727ffffffff,2.0,0.0,0.0
841f883ffffffff,3.0,3.0,0.0
841f8ebffffffff,1.0,0.0,0.0
841f9c7ffffffff,8.0,8.0,0.0
841f9d7ffffffff,4.0,0.0,0.0
841faa7ffffffff,1.0,1.0,0.0
842013dffffffff,1.0,1.0,0.0
8420687ffffffff,2.0,2.0,0.0
84206bdffffffff,2.0,2.0,0.0
8420841ffffffff,3.0,0.0,0.0
8420a65ffffffff,1.0,0.0,0.0
8421567ffffffff,3.0,0.0,0.0
8425ac9ffffffff,16.0,16.0,0.0
8425ae9ffffffff,1.0,1.0,0.0
842c043ffffffff,2.0,0.0,0.0
842c0c9ffffffff,1.0,1.0,0.0
842c203ffffffff,2.0,2.0,0.0
842c215ffffffff,3.0,3.0,0.0
842c219ffffffff,5.0,5.0,0.0
842c21dffffffff,3.0,1.0,0.0
842c2a1ffffffff,3.0,2.0,0.0
842c4cdffffffff,4.0,0.0,0.0
842c513ffffffff,23.0,0.0,0.0
842c51bffffffff,18.0,0.0,0.0
842c5e9ffffffff,4.0,0.0,0.0
842c903ffffffff,2.0,0.0,0.0
842c93bffffffff,5.0,1.0,0.0
842cac9ffffffff,1.0,0.0,0.0
842d03bffffffff,12.0,4.0,0.0
842d0e5ffffffff,2.0,2.0,0.0
842d107ffffffff,2.0,1.0,1.0
842d181ffffffff,2.0,2.0,0.0
842d18dffffffff,4.0,4.0,0.0
842d303ffffffff,1.0,1.0,0.0
842d32bffffffff,3.0,3.0,0.0
842d32dffffffff,3.0,3.0,0.0
842d333ffffffff,4.0,0.0,0.0
842d36bffffffff,1.0,1.0,0.0
842d64dffffffff,2.0,0.0,0.0
842da17ffffffff,2.0,0.0,0.0
842da19ffffffff,1.0,1.0,0.0
842da5dffffffff,1.0,1.0,0.0
842db03ffffffff,2.0,0.0,0.0
842db11ffffffff,3.0,0.0,0.0
842db1dffffffff,3.0,0.0,0.0
842db2dffffffff,4.0,0.0,0.0
8434261ffffffff,2.0,0.0,0.0
84344cbffffffff,3.0,0.0,0.0
8435ae3ffffffff,5.0,0.0,0.0
8438247ffffffff,2.0,0.0,0.0
843825bffffffff,2.0,0.0,0.0
8438625ffffffff,25.0,0.0,0.0
8438717ffffffff,2.0,0.0,0.0
843871bffffffff,1.0,0.0,0.0
8438737ffffffff,2.0,0.0,0.0
8438739ffffffff,1.0,0.0,0.0
8438741ffffffff,1.0,0.0,0.0
8438743ffffffff,1.0,0.0,0.0
8438751ffffffff,1.0,0.0,0.0
8438753ffffffff,9.0,0.0,0.0
843875bffffffff,5.0,0.0,0.0
8439003ffffffff,1.0,0.0,0.0
843900bffffffff,1.0,1.0,0.0
8439019ffffffff,2.0,0.0,0.0
843901dffffffff,4.0,3.0,0.0
8439029ffffffff,4.0,0.0,0.0
8439035ffffffff,1.0,1.0,0.0
8439039ffffffff,1.0,0.0,0.0
843903dffffffff,2.0,0.0,0.0
8439041ffffffff,6.0,0.0,0.0
8439043ffffffff,2.0,0.0,0.0
8439045ffffffff,2.0,0.0,0.0
8439047ffffffff,1.0,0.0,0.0
843904bffffffff,9.0,0.0,0.0
8439055ffffffff,2.0,0.0,0.0
8439057ffffffff,2.0,2.0,0.0
8439069ffffffff,2.0,0.0,0.0
84390cbffffffff,8.0,0.0,0.0
8439101ffffffff,50.0,0.0,0.0
8439103ffffffff,4.0,0.0,0.0
843910bffffffff,2.0,0.0,0.0
8439111ffffffff,7.0,0.0,0.0
8439115ffffffff,8.0,0.0,0.0
843911dffffffff,2.0,0.0,0.0
8439155ffffffff,2.0,0.0,0.0
8439159ffffffff,4.0,0.0,0.0
