cell_id,Phalacrocorax carbo,Phalacrocorax carbo carbo,Phalacrocorax carbo novaehollandiae,Phalacrocorax carbo sinensis/hanedae,Phalacrocorax carbo maroccanus,Phalacrocorax carbo lucidus,Phalacrocorax carbo carbo/sinensis
8406885ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8407581ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84075d1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84075ddffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408997ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
84089edffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8409997ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8409a55ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
840e491ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
840e49bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840e4d3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840e4dbffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8411549ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8411813ffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8411853ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84118cdffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8411ae3ffffffff,22.0,0.0,0.0,11.0,0.0,0.0,0.0
8415929ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8415953ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
841828bffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
8418491ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8418493ffffffff,6.0,4.0,0.0,0.0,0.0,0.0,0.0
8418495ffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0
841849dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b1ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b7ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84184bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84184bdffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84184d5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8418597ffffffff,8.0,0.0,0.0,3.0,0.0,0.0,0.0
84185b1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84185b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84185b5ffffffff,18.0,0.0,0.0,1.0,0.0,0.0,0.0
84185bbffffffff,78.0,0.0,0.0,2.0,0.0,0.0,0.0
8418625ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8418629ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
841863dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84186c3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84186c5ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
84186edffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8418747ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84190b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84190ebffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8419261ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8419265ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
841926dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84192b7ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
8419411ffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8419413ffffffff,6.0,4.0,0.0,2.0,0.0,0.0,0.0
8419421ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
841943dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84194c5ffffffff,7.0,7.0,0.0,0.0,0.0,0.0,0.0
84194ddffffffff,3.0,0.0,0.0,2.0,0.0,0.0,0.0
84194e1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8419501ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8419513ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84195d5ffffffff,2.0,0.0,0.0,1.0,0.0,0.0,0.0
84195d7ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
8419683ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
84196d5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8419733ffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
841aa05ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa07ffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa0dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa21ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa23ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa27ffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa29ffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa35ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa3dffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa45ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa47ffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
841ab0bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
841ab51ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
841ab57ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841ab5dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841b823ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841b8a5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
841b915ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
841b92bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841b92dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841b939ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
841b999ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841b9e1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
841b9e7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
841b9ebffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
841e007ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
841e025ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
841e029ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
841e045ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
841e04bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841e059ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
841e05bffffffff,6.0,0.0,0.0,2.0,0.0,0.0,0.0
841e061ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
841e0a1ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
841e0b7ffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
841e0bdffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
841e0e7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
841e131ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841e1b3ffffffff,32.0,0.0,0.0,32.0,0.0,0.0,0.0
841e223ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
841e225ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
841e233ffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0
841e427ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841e465ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
841e5c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841e5cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841e6a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841e6abffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
841e6b3ffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
