cell_id,Amazona farinosa,Amazona farinosa guatemalae/virenticeps,Amazona farinosa farinosa
8329a1fffffffff,2.0,0.0,0.0
833922fffffffff,1.0,0.0,0.0
8344a1fffffffff,2.0,0.0,0.0
83450efffffffff,4.0,0.0,0.0
834520fffffffff,2.0,2.0,0.0
83452afffffffff,7.0,4.0,0.0
83452dfffffffff,3.0,0.0,0.0
83452efffffffff,23.0,1.0,0.0
834995fffffffff,1.0,0.0,0.0
834996fffffffff,16.0,2.0,0.0
835f01fffffffff,2.0,0.0,2.0
835f4afffffffff,5.0,0.0,0.0
835f5dfffffffff,2.0,0.0,0.0
836610fffffffff,4.0,0.0,0.0
836611fffffffff,28.0,0.0,0.0
836613fffffffff,19.0,0.0,11.0
836616fffffffff,2.0,0.0,2.0
83661bfffffffff,2.0,0.0,0.0
83661cfffffffff,154.0,0.0,0.0
83661efffffffff,52.0,0.0,0.0
83662dfffffffff,2.0,0.0,0.0
83665afffffffff,3.0,0.0,0.0
8366a3fffffffff,1.0,0.0,0.0
8366a5fffffffff,16.0,0.0,0.0
8366a6fffffffff,1.0,1.0,0.0
8366b0fffffffff,3.0,3.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366b4fffffffff,36.0,0.0,0.0
8366b5fffffffff,4.0,1.0,0.0
8366c2fffffffff,4.0,0.0,0.0
8366d1fffffffff,4.0,0.0,0.0
8366d3fffffffff,3.0,0.0,1.0
8366dcfffffffff,27.0,0.0,4.0
8366ddfffffffff,2.0,0.0,2.0
8366defffffffff,8.0,0.0,2.0
8366e4fffffffff,5.0,0.0,0.0
8366e6fffffffff,3.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0
8366f1fffffffff,4.0,0.0,0.0
836753fffffffff,7.0,0.0,0.0
83679afffffffff,78.0,2.0,0.0
83679bfffffffff,9.0,1.0,0.0
836d20fffffffff,2.0,0.0,0.0
836d25fffffffff,6.0,0.0,0.0
836d29fffffffff,2.0,0.0,0.0
836d2cfffffffff,4.0,0.0,0.0
836d2dfffffffff,2.0,0.0,0.0
836d31fffffffff,7.0,0.0,0.0
836d34fffffffff,3.0,0.0,0.0
836d64fffffffff,4.0,0.0,0.0
836d65fffffffff,8.0,0.0,0.0
836d68fffffffff,6.0,0.0,0.0
836d69fffffffff,10.0,4.0,0.0
836d6dfffffffff,1.0,1.0,0.0
836d6efffffffff,2.0,0.0,0.0
838a2efffffffff,1.0,0.0,1.0
838a4bfffffffff,2.0,0.0,0.0
838a69fffffffff,1.0,0.0,0.0
838b5cfffffffff,6.0,0.0,6.0
838b63fffffffff,11.0,0.0,11.0
838b71fffffffff,2.0,0.0,2.0
838f0dfffffffff,2.0,0.0,0.0
838f74fffffffff,2.0,0.0,0.0
838f76fffffffff,4.0,0.0,0.0
83a810fffffffff,4.0,0.0,0.0
83a812fffffffff,1.0,0.0,0.0
83a816fffffffff,2.0,0.0,2.0
83a8a1fffffffff,2.0,0.0,0.0
