cell_id,Otus magicus,Otus magicus [magicus Group],Otus magicus kalidupae
8473901ffffffff,20.0,5.0,0.0
8473905ffffffff,12.0,3.0,0.0
8473907ffffffff,41.0,3.0,0.0
847390bffffffff,62.0,13.0,0.0
847390dffffffff,34.0,7.0,0.0
8473927ffffffff,1.0,0.0,0.0
8473951ffffffff,2.0,0.0,0.0
8473957ffffffff,1.0,1.0,0.0
8473959ffffffff,1.0,0.0,0.0
847395bffffffff,4.0,0.0,0.0
847395dffffffff,15.0,1.0,0.0
849426dffffffff,3.0,0.0,0.0
849512bffffffff,1.0,0.0,0.0
8495183ffffffff,1.0,0.0,0.0
8495185ffffffff,19.0,15.0,0.0
84951a9ffffffff,3.0,1.0,0.0
84951abffffffff,25.0,2.0,0.0
84951bdffffffff,1.0,0.0,0.0
84951e3ffffffff,36.0,4.0,0.0
84951e5ffffffff,9.0,0.0,0.0
84951e7ffffffff,1.0,0.0,0.0
8495441ffffffff,8.0,0.0,0.0
8495449ffffffff,16.0,5.0,0.0
849544bffffffff,49.0,1.0,0.0
8495613ffffffff,52.0,10.0,0.0
8495617ffffffff,3.0,0.0,0.0
84956a3ffffffff,2.0,0.0,0.0
84956a5ffffffff,10.0,0.0,0.0
84956abffffffff,7.0,0.0,0.0
84956b5ffffffff,4.0,0.0,0.0
84956bdffffffff,74.0,11.0,0.0
84956c5ffffffff,2.0,2.0,0.0
84956e9ffffffff,1.0,0.0,0.0
8495725ffffffff,1.0,0.0,1.0
