cell_id,Chlorodrepanis virens,Chlorodrepanis virens wilsoni,Chlorodrepanis virens virens
845d101ffffffff,32.0,0.0,19.0
845d103ffffffff,7663.0,0.0,5698.0
845d107ffffffff,1001.0,0.0,695.0
845d115ffffffff,19.0,0.0,9.0
845d139ffffffff,998.0,0.0,239.0
845d13bffffffff,4.0,0.0,0.0
845d13dffffffff,107.0,0.0,38.0
845d145ffffffff,30.0,13.0,0.0
845d147ffffffff,1018.0,615.0,0.0
845d16bffffffff,36.0,13.0,0.0
