cell_id,Erythropitta macklotii,Erythropitta macklotii habenichti,Erythropitta macklotii [macklotii Group],Erythropitta macklotii finschii
827297fffffffff,1.0,0.0,0.0,0.0
829c1ffffffffff,4.0,0.0,0.0,0.0
829c8ffffffffff,4.0,0.0,0.0,0.0
829cd7fffffffff,4.0,0.0,0.0,0.0
829cf7fffffffff,3.0,0.0,0.0,0.0
829d9ffffffffff,2.0,0.0,0.0,0.0
