cell_id,Phapitreron leucotis,Phapitreron leucotis leucotis,Phapitreron leucotis nigrorum,Phapitreron leucotis brevirostris/occipitalis
836844fffffffff,1.0,0.0,1.0,0.0
836846fffffffff,2.0,1.0,1.0,0.0
83684efffffffff,5.0,0.0,0.0,5.0
83685dfffffffff,4.0,0.0,0.0,4.0
836862fffffffff,4.0,0.0,4.0,0.0
83694efffffffff,3.0,3.0,0.0,0.0
