cell_id,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus [emigrans Group],Xiphocolaptes promeropirhynchus [promeropirhynchus Group],Xiphocolaptes promeropirhynchus [orenocensis Group],Xiphocolaptes promeropirhynchus carajaensis
8466c21ffffffff,30.0,0.0,0.0,0.0,0.0
8466c23ffffffff,6.0,0.0,0.0,0.0,0.0
8466c27ffffffff,9.0,0.0,0.0,0.0,0.0
8466c29ffffffff,16.0,0.0,0.0,0.0,0.0
8466c2bffffffff,6.0,0.0,0.0,0.0,0.0
8466c2dffffffff,2.0,0.0,0.0,0.0,0.0
8466c45ffffffff,2.0,0.0,0.0,0.0,0.0
8466c47ffffffff,4.0,0.0,0.0,0.0,0.0
8466c4bffffffff,4.0,0.0,0.0,0.0,0.0
8466c4dffffffff,1.0,0.0,0.0,0.0,0.0
8466c5dffffffff,5.0,0.0,0.0,0.0,0.0
8466c61ffffffff,2.0,0.0,0.0,0.0,0.0
8466c63ffffffff,47.0,0.0,0.0,0.0,0.0
8466c67ffffffff,19.0,0.0,0.0,0.0,0.0
8466c69ffffffff,6.0,0.0,0.0,0.0,0.0
8466c6bffffffff,15.0,0.0,0.0,0.0,0.0
8466c6dffffffff,3.0,0.0,0.0,0.0,0.0
8466c95ffffffff,3.0,0.0,0.0,0.0,0.0
8466d03ffffffff,7.0,0.0,3.0,0.0,0.0
8466d0bffffffff,11.0,0.0,0.0,0.0,0.0
8466d1bffffffff,103.0,0.0,0.0,0.0,0.0
8466d31ffffffff,2609.0,0.0,304.0,0.0,0.0
8466d35ffffffff,83.0,0.0,8.0,0.0,0.0
8466d37ffffffff,71.0,0.0,1.0,0.0,0.0
8466d39ffffffff,17.0,0.0,0.0,0.0,0.0
8466d3dffffffff,4.0,0.0,1.0,0.0,0.0
8466d53ffffffff,2.0,0.0,0.0,0.0,0.0
8466d81ffffffff,2.0,0.0,0.0,0.0,0.0
8466da7ffffffff,6.0,0.0,0.0,0.0,0.0
8466dadffffffff,14.0,0.0,0.0,0.0,0.0
8466db5ffffffff,8.0,0.0,0.0,0.0,0.0
8466dc3ffffffff,28.0,0.0,0.0,14.0,0.0
8466dc7ffffffff,2.0,0.0,0.0,0.0,0.0
8466dc9ffffffff,3.0,0.0,0.0,0.0,0.0
8466dcbffffffff,5.0,0.0,0.0,5.0,0.0
8466dd1ffffffff,2.0,0.0,0.0,0.0,0.0
8466dd3ffffffff,3.0,0.0,0.0,0.0,0.0
8466dd5ffffffff,20.0,0.0,0.0,2.0,0.0
8466dddffffffff,2.0,0.0,0.0,0.0,0.0
8466de1ffffffff,378.0,0.0,38.0,0.0,0.0
8466de3ffffffff,6.0,0.0,0.0,1.0,0.0
8466de7ffffffff,12.0,0.0,0.0,3.0,0.0
8466de9ffffffff,1.0,0.0,0.0,0.0,0.0
8466debffffffff,77.0,0.0,30.0,0.0,0.0
8466dedffffffff,254.0,0.0,47.0,0.0,0.0
8466e03ffffffff,2.0,0.0,0.0,0.0,0.0
8466e07ffffffff,3.0,0.0,0.0,0.0,0.0
8466e09ffffffff,51.0,0.0,0.0,0.0,0.0
8466e0bffffffff,14.0,0.0,0.0,0.0,0.0
8466e0dffffffff,5.0,0.0,0.0,0.0,0.0
8466e27ffffffff,9.0,0.0,0.0,0.0,0.0
8466e2dffffffff,9.0,0.0,0.0,0.0,0.0
8466e41ffffffff,3.0,0.0,0.0,0.0,0.0
8466e43ffffffff,128.0,0.0,0.0,0.0,0.0
8466e47ffffffff,259.0,0.0,0.0,0.0,0.0
8466e55ffffffff,35.0,0.0,0.0,0.0,0.0
8466e57ffffffff,4.0,0.0,0.0,0.0,0.0
8466e59ffffffff,2.0,0.0,0.0,0.0,0.0
8466e5dffffffff,8.0,0.0,0.0,0.0,0.0
8466e61ffffffff,35.0,0.0,0.0,0.0,0.0
8466e65ffffffff,899.0,0.0,36.0,0.0,0.0
8466e67ffffffff,153.0,0.0,0.0,0.0,0.0
8466e69ffffffff,5.0,0.0,0.0,0.0,0.0
8466e6dffffffff,781.0,0.0,31.0,0.0,0.0
8466e8dffffffff,2.0,0.0,0.0,0.0,0.0
8466ec5ffffffff,6.0,0.0,0.0,0.0,0.0
8466ec7ffffffff,17.0,0.0,0.0,5.0,0.0
8466ecbffffffff,4.0,0.0,0.0,0.0,0.0
8466f03ffffffff,3.0,0.0,0.0,0.0,0.0
8466f0bffffffff,20.0,0.0,0.0,0.0,0.0
8466f13ffffffff,3.0,0.0,0.0,0.0,0.0
8466f15ffffffff,1.0,0.0,0.0,0.0,0.0
8466f19ffffffff,25.0,0.0,0.0,0.0,0.0
8466f1bffffffff,1.0,0.0,0.0,0.0,0.0
8466f1dffffffff,7.0,0.0,0.0,0.0,0.0
8466f53ffffffff,17.0,0.0,0.0,0.0,0.0
8466f5bffffffff,43.0,0.0,0.0,0.0,0.0
8466f5dffffffff,5.0,0.0,0.0,0.0,0.0
8467413ffffffff,88.0,0.0,2.0,0.0,0.0
8467417ffffffff,29.0,0.0,0.0,0.0,0.0
8467433ffffffff,3.0,0.0,0.0,0.0,0.0
8467437ffffffff,52.0,0.0,0.0,0.0,0.0
846743bffffffff,5.0,0.0,0.0,0.0,0.0
84674c5ffffffff,7.0,0.0,0.0,0.0,0.0
84674c9ffffffff,4.0,0.0,0.0,0.0,0.0
84674cdffffffff,4.0,0.0,0.0,0.0,0.0
84674e9ffffffff,15.0,0.0,1.0,0.0,0.0
84674edffffffff,58.0,0.0,4.0,0.0,0.0
84675c1ffffffff,4.0,0.0,0.0,0.0,0.0
84675c9ffffffff,12.0,0.0,0.0,0.0,0.0
84675cbffffffff,12.0,0.0,0.0,0.0,0.0
84675ddffffffff,4.0,0.0,0.0,0.0,0.0
84675ebffffffff,6.0,0.0,0.0,0.0,0.0
846d207ffffffff,11.0,6.0,0.0,0.0,0.0
846d23bffffffff,135.0,21.0,0.0,0.0,0.0
846d299ffffffff,6.0,4.0,0.0,0.0,0.0
846d2d1ffffffff,23.0,0.0,0.0,0.0,0.0
846d2d7ffffffff,107.0,8.0,0.0,0.0,0.0
846d2dbffffffff,2.0,0.0,0.0,0.0,0.0
846d2ddffffffff,5.0,0.0,0.0,0.0,0.0
846d2e9ffffffff,7.0,0.0,0.0,0.0,0.0
846d2ebffffffff,50.0,8.0,0.0,0.0,0.0
846d305ffffffff,26.0,0.0,0.0,0.0,0.0
846d307ffffffff,2.0,0.0,0.0,0.0,0.0
846d32bffffffff,213.0,10.0,0.0,0.0,0.0
846d641ffffffff,8.0,0.0,0.0,0.0,0.0
846d645ffffffff,129.0,0.0,0.0,0.0,0.0
846d64bffffffff,2.0,0.0,0.0,0.0,0.0
846d64dffffffff,64.0,0.0,0.0,0.0,0.0
846d651ffffffff,579.0,0.0,0.0,0.0,0.0
846d653ffffffff,67.0,0.0,0.0,0.0,0.0
846d655ffffffff,34.0,0.0,0.0,0.0,0.0
846d657ffffffff,1.0,0.0,0.0,0.0,0.0
846d65bffffffff,4.0,0.0,0.0,0.0,0.0
846d65dffffffff,20.0,0.0,0.0,0.0,0.0
846d669ffffffff,3.0,0.0,0.0,0.0,0.0
846d66dffffffff,31.0,0.0,0.0,0.0,0.0
846d69dffffffff,1.0,0.0,0.0,0.0,0.0
84814a9ffffffff,9.0,0.0,0.0,0.0,9.0
84814adffffffff,8.0,0.0,0.0,0.0,8.0
84814d5ffffffff,5.0,0.0,0.0,0.0,0.0
84814e3ffffffff,2.0,0.0,0.0,0.0,2.0
84814e7ffffffff,15.0,0.0,0.0,0.0,15.0
848a01dffffffff,3.0,0.0,0.0,0.0,0.0
848a037ffffffff,1.0,0.0,0.0,0.0,0.0
848a05bffffffff,1.0,0.0,0.0,0.0,0.0
848a069ffffffff,4.0,0.0,0.0,0.0,0.0
848a155ffffffff,4.0,0.0,0.0,0.0,0.0
848a1a7ffffffff,2.0,0.0,0.0,2.0,0.0
848a233ffffffff,2.0,0.0,0.0,0.0,0.0
848a249ffffffff,2.0,0.0,0.0,0.0,0.0
