cell_id,Nesotriccus murinus,Nesotriccus murinus incomtus/eremonomus,Nesotriccus murinus murinus/wagae
835f08fffffffff,50.0,50.0,0.0
835f09fffffffff,166.0,166.0,0.0
835f0bfffffffff,7.0,7.0,0.0
835f0dfffffffff,5.0,5.0,0.0
835f0efffffffff,2.0,2.0,0.0
835f10fffffffff,3.0,3.0,0.0
835f12fffffffff,47.0,47.0,0.0
835f13fffffffff,13.0,13.0,0.0
835f16fffffffff,2.0,2.0,0.0
835f1cfffffffff,44.0,43.0,0.0
835f1dfffffffff,6.0,6.0,0.0
835f1efffffffff,4.0,4.0,0.0
835f29fffffffff,201.0,34.0,0.0
835f2bfffffffff,21.0,5.0,0.0
835f2dfffffffff,134.0,27.0,0.0
835f40fffffffff,4.0,4.0,0.0
835f41fffffffff,1.0,1.0,0.0
835f42fffffffff,4.0,4.0,0.0
835f43fffffffff,1.0,1.0,0.0
835f46fffffffff,5.0,5.0,0.0
835f48fffffffff,5.0,5.0,0.0
835f49fffffffff,1.0,1.0,0.0
835f4afffffffff,2.0,2.0,0.0
835f4bfffffffff,7.0,7.0,0.0
835f4efffffffff,2.0,2.0,0.0
835f50fffffffff,10.0,10.0,0.0
835f68fffffffff,4.0,4.0,0.0
835f70fffffffff,2.0,2.0,0.0
836601fffffffff,2.0,2.0,0.0
836602fffffffff,4.0,4.0,0.0
836603fffffffff,4.0,4.0,0.0
836604fffffffff,21.0,21.0,0.0
836606fffffffff,4.0,4.0,0.0
836608fffffffff,40.0,40.0,0.0
83660afffffffff,2.0,2.0,0.0
83660bfffffffff,16.0,16.0,0.0
83660cfffffffff,37.0,37.0,0.0
83660efffffffff,10.0,10.0,0.0
836616fffffffff,3.0,3.0,0.0
836618fffffffff,151.0,151.0,0.0
836619fffffffff,170.0,170.0,0.0
83661bfffffffff,296.0,296.0,0.0
83661dfffffffff,9.0,9.0,0.0
836620fffffffff,130.0,130.0,0.0
836621fffffffff,63.0,63.0,0.0
836622fffffffff,162.0,162.0,0.0
836623fffffffff,5.0,5.0,0.0
836625fffffffff,61.0,61.0,0.0
