cell_id,Acrocephalus stentoreus,Acrocephalus stentoreus stentoreus/levantinus,Acrocephalus stentoreus [brunnescens Group]
84200adffffffff,4.0,0.0,0.0
8420125ffffffff,4.0,0.0,0.0
8420127ffffffff,1.0,0.0,0.0
842013dffffffff,1.0,0.0,0.0
842016bffffffff,8.0,0.0,0.0
8420185ffffffff,3.0,0.0,0.0
8420187ffffffff,10.0,0.0,0.0
8420199ffffffff,2.0,0.0,0.0
84201a7ffffffff,2.0,0.0,0.0
84201abffffffff,3.0,0.0,0.0
84201b1ffffffff,2.0,0.0,0.0
8420803ffffffff,2.0,0.0,0.0
8420845ffffffff,2.0,0.0,0.0
842084dffffffff,5.0,0.0,0.0
84209a5ffffffff,55.0,0.0,0.0
84209b7ffffffff,5.0,0.0,0.0
8420a53ffffffff,2.0,0.0,0.0
8420a61ffffffff,3.0,0.0,0.0
8420a85ffffffff,1.0,0.0,0.0
8420b13ffffffff,3.0,0.0,0.0
8420b15ffffffff,3.0,0.0,0.0
8420b39ffffffff,2.0,0.0,0.0
8420e39ffffffff,3.0,0.0,0.0
8420e69ffffffff,8.0,0.0,0.0
8420f45ffffffff,2.0,0.0,0.0
8421529ffffffff,4.0,0.0,0.0
8421847ffffffff,1.0,0.0,0.0
8421981ffffffff,11.0,0.0,0.0
8421983ffffffff,20.0,0.0,0.0
84219c1ffffffff,4.0,0.0,0.0
84219c3ffffffff,2.0,0.0,0.0
84219c9ffffffff,4.0,0.0,0.0
84219e5ffffffff,2.0,0.0,0.0
842c18dffffffff,1.0,0.0,0.0
842c1edffffffff,8.0,0.0,0.0
842c835ffffffff,7.0,0.0,0.0
842c837ffffffff,1.0,0.0,0.0
842c903ffffffff,23.0,0.0,3.0
842c915ffffffff,2.0,0.0,0.0
842c933ffffffff,5.0,0.0,0.0
842c935ffffffff,3.0,0.0,0.0
842c93bffffffff,433.0,0.0,107.0
842c9c5ffffffff,1.0,0.0,0.0
842c9c7ffffffff,1.0,0.0,0.0
842c9c9ffffffff,17.0,0.0,0.0
842c9d9ffffffff,7.0,0.0,0.0
842cc05ffffffff,2.0,0.0,0.0
842cc15ffffffff,4.0,0.0,0.0
842cc37ffffffff,1.0,0.0,0.0
842cc61ffffffff,2.0,0.0,0.0
842ccb7ffffffff,2.0,0.0,0.0
842cd49ffffffff,3.0,0.0,0.0
842cd9bffffffff,2.0,0.0,0.0
842cf07ffffffff,11.0,0.0,0.0
842cf0bffffffff,2.0,0.0,0.0
842cf35ffffffff,18.0,0.0,0.0
842cf59ffffffff,2.0,0.0,0.0
842db01ffffffff,538.0,24.0,0.0
842db03ffffffff,713.0,51.0,0.0
842db05ffffffff,273.0,0.0,0.0
