cell_id,Neocichla gutturalis,Neocichla gutturalis gutturalis,Neocichla gutturalis angusta
8496147ffffffff,4.0,0.0,0.0
849614dffffffff,1.0,0.0,0.0
849615dffffffff,1.0,0.0,0.0
8496335ffffffff,2.0,0.0,0.0
8496801ffffffff,2.0,0.0,0.0
8496807ffffffff,1.0,0.0,0.0
8496809ffffffff,2.0,0.0,0.0
8496811ffffffff,1.0,0.0,0.0
8496841ffffffff,1.0,0.0,0.0
84968ebffffffff,1.0,0.0,0.0
8496a53ffffffff,1.0,0.0,0.0
8496a59ffffffff,19.0,0.0,0.0
8496a5dffffffff,1.0,0.0,0.0
8496a8bffffffff,1.0,0.0,0.0
8496a99ffffffff,4.0,0.0,2.0
8496b67ffffffff,1.0,0.0,0.0
849789bffffffff,1.0,0.0,0.0
84978b3ffffffff,1.0,0.0,0.0
