cell_id,Chroicocephalus novaehollandiae,Chroicocephalus novaehollandiae novaehollandiae/forsteri,Chroicocephalus novaehollandiae scopulinus
83941afffffffff,2.0,0.0,0.0
83944afffffffff,2.0,0.0,0.0
83944bfffffffff,2.0,0.0,0.0
839450fffffffff,882.0,391.0,0.0
839451fffffffff,1014.0,429.0,0.0
839455fffffffff,11.0,1.0,0.0
83945cfffffffff,5.0,3.0,0.0
839480fffffffff,1917.0,755.0,0.0
839481fffffffff,13.0,1.0,0.0
839482fffffffff,44.0,2.0,0.0
839485fffffffff,66.0,15.0,0.0
839490fffffffff,21.0,7.0,0.0
839491fffffffff,30.0,13.0,0.0
839496fffffffff,22.0,8.0,0.0
8394aafffffffff,27.0,8.0,0.0
8394acfffffffff,8.0,7.0,0.0
8394aefffffffff,44.0,15.0,0.0
8394c4fffffffff,9.0,8.0,0.0
8394e2fffffffff,46.0,11.0,0.0
8394f2fffffffff,2.0,2.0,0.0
839c00fffffffff,54.0,29.0,0.0
839c04fffffffff,1.0,0.0,0.0
839c05fffffffff,70.0,45.0,0.0
839c0efffffffff,2.0,0.0,0.0
839c19fffffffff,264.0,138.0,0.0
839c1dfffffffff,1.0,0.0,0.0
839c20fffffffff,11.0,8.0,0.0
839c23fffffffff,2792.0,1436.0,0.0
839c24fffffffff,2.0,0.0,0.0
839c25fffffffff,49.0,31.0,0.0
839c41fffffffff,1.0,1.0,0.0
839c43fffffffff,25.0,18.0,0.0
839c58fffffffff,46.0,20.0,0.0
839c5afffffffff,72.0,63.0,0.0
839c5bfffffffff,2.0,2.0,0.0
839c5dfffffffff,4.0,0.0,0.0
839c65fffffffff,2.0,0.0,0.0
839c6cfffffffff,3.0,0.0,0.0
839c74fffffffff,80.0,31.0,0.0
839ce2fffffffff,4.0,0.0,0.0
839ce4fffffffff,38.0,9.0,0.0
839ce6fffffffff,2.0,2.0,0.0
839ce9fffffffff,90.0,75.0,0.0
839cf1fffffffff,49.0,35.0,0.0
839cf3fffffffff,13.0,9.0,0.0
839cf5fffffffff,59.0,42.0,0.0
839d01fffffffff,293.0,69.0,0.0
839d03fffffffff,2.0,2.0,0.0
839d0afffffffff,19.0,13.0,0.0
839d0bfffffffff,344.0,165.0,0.0
839d0cfffffffff,2.0,2.0,0.0
839d0efffffffff,177.0,58.0,0.0
839d20fffffffff,75.0,42.0,0.0
839d21fffffffff,173.0,85.0,0.0
839d23fffffffff,22.0,15.0,0.0
839d24fffffffff,256.0,110.0,0.0
839d25fffffffff,45.0,29.0,0.0
839d28fffffffff,3.0,3.0,0.0
839d29fffffffff,1.0,0.0,0.0
839d2afffffffff,32.0,11.0,0.0
839d2dfffffffff,23.0,7.0,0.0
839d45fffffffff,2.0,0.0,0.0
839d46fffffffff,2.0,2.0,0.0
839d4afffffffff,114.0,43.0,0.0
839d4cfffffffff,2.0,0.0,0.0
839d56fffffffff,2.0,2.0,0.0
839d5dfffffffff,1.0,1.0,0.0
839d62fffffffff,3.0,2.0,0.0
839d68fffffffff,1.0,0.0,0.0
839d6dfffffffff,34.0,21.0,0.0
839d70fffffffff,2.0,2.0,0.0
839e2dfffffffff,3.0,3.0,0.0
839f50fffffffff,4.0,2.0,0.0
839f51fffffffff,5.0,4.0,0.0
839f52fffffffff,4.0,4.0,0.0
839f54fffffffff,5.0,2.0,0.0
839f55fffffffff,132.0,63.0,0.0
839f5afffffffff,2.0,2.0,0.0
83a604fffffffff,16.0,8.0,0.0
83a610fffffffff,95.0,40.0,0.0
83a611fffffffff,42.0,20.0,0.0
83a612fffffffff,354.0,350.0,0.0
83a613fffffffff,27.0,9.0,0.0
83a615fffffffff,33.0,17.0,0.0
83a620fffffffff,2.0,2.0,0.0
83a622fffffffff,38.0,4.0,0.0
83a626fffffffff,162.0,70.0,0.0
83a631fffffffff,111.0,97.0,0.0
83a6a0fffffffff,5.0,3.0,0.0
83a6a1fffffffff,12.0,10.0,0.0
83a6a5fffffffff,2.0,2.0,0.0
83a6a6fffffffff,149.0,50.0,0.0
83a700fffffffff,45.0,34.0,0.0
83a701fffffffff,68.0,24.0,0.0
83a703fffffffff,49.0,21.0,0.0
83a704fffffffff,62.0,35.0,0.0
83a70efffffffff,36.0,4.0,0.0
83a712fffffffff,2.0,1.0,0.0
83a71bfffffffff,32.0,11.0,0.0
83a71dfffffffff,73.0,40.0,0.0
83a722fffffffff,97.0,72.0,0.0
83a726fffffffff,2460.0,1521.0,0.0
83a730fffffffff,1.0,1.0,0.0
83a731fffffffff,2.0,2.0,0.0
83a735fffffffff,6.0,6.0,0.0
83a79afffffffff,118.0,53.0,0.0
83b822fffffffff,3.0,3.0,0.0
83b829fffffffff,3.0,2.0,0.0
83b82efffffffff,1.0,1.0,0.0
83b834fffffffff,38.0,14.0,0.0
83b835fffffffff,21.0,7.0,0.0
83b841fffffffff,2.0,2.0,0.0
83b845fffffffff,2.0,0.0,0.0
83b864fffffffff,20.0,9.0,0.0
83b865fffffffff,58.0,41.0,0.0
83b885fffffffff,30.0,16.0,0.0
83b89afffffffff,6.0,4.0,0.0
83b910fffffffff,20.0,4.0,0.0
83b911fffffffff,145.0,53.0,0.0
83b912fffffffff,111.0,51.0,0.0
83b913fffffffff,48.0,6.0,0.0
83b914fffffffff,371.0,129.0,0.0
83b915fffffffff,164.0,38.0,0.0
