cell_id,Poliocrania exsul,Poliocrania exsul [exsul Group],Poliocrania exsul maculifer/cassini
846610bffffffff,1.0,0.0,0.0
8466113ffffffff,55.0,0.0,0.0
8466129ffffffff,2.0,2.0,0.0
84661b1ffffffff,49.0,0.0,0.0
84661c9ffffffff,4.0,0.0,0.0
84661cdffffffff,11.0,0.0,0.0
84661ebffffffff,59.0,0.0,0.0
8466a33ffffffff,2.0,0.0,0.0
8466a51ffffffff,10.0,10.0,0.0
8466b01ffffffff,3.0,0.0,0.0
8466b0bffffffff,2.0,0.0,0.0
8466b1dffffffff,1.0,0.0,0.0
8466b55ffffffff,1.0,0.0,0.0
8466d01ffffffff,7.0,0.0,0.0
8466d09ffffffff,3.0,0.0,0.0
8466d0bffffffff,12.0,0.0,0.0
8466d35ffffffff,3.0,0.0,3.0
8466d51ffffffff,4.0,0.0,0.0
8466e69ffffffff,3.0,0.0,0.0
8466f0bffffffff,5.0,0.0,0.0
84679a1ffffffff,1.0,0.0,0.0
84679a5ffffffff,9.0,5.0,0.0
84679b7ffffffff,1.0,1.0,0.0
846d697ffffffff,7.0,0.0,0.0
846d69bffffffff,1.0,1.0,0.0
848f0dbffffffff,2.0,0.0,2.0
848f2c3ffffffff,2.0,0.0,2.0
