cell_id,Saxicola torquatus,Saxicola torquatus [torquatus Group],Saxicola torquatus albofasciatus,Saxicola torquatus sibilla
8452021ffffffff,3.0,3.0,0.0,0.0
8452025ffffffff,6.0,0.0,0.0,0.0
845202dffffffff,36.0,0.0,0.0,0.0
8452065ffffffff,7.0,1.0,0.0,0.0
8452153ffffffff,7.0,2.0,0.0,0.0
845215bffffffff,11.0,0.0,0.0,0.0
84521b9ffffffff,1.0,0.0,0.0,0.0
845280dffffffff,1.0,0.0,0.0,0.0
8452863ffffffff,2.0,0.0,0.0,0.0
8452867ffffffff,1.0,0.0,0.0,0.0
8452915ffffffff,4.0,0.0,4.0,0.0
8452991ffffffff,2.0,0.0,0.0,0.0
84529b1ffffffff,5.0,0.0,5.0,0.0
84529b3ffffffff,1.0,0.0,0.0,0.0
84529b5ffffffff,33.0,0.0,10.0,0.0
84529b9ffffffff,14.0,0.0,1.0,0.0
84529bdffffffff,2.0,0.0,0.0,0.0
8452d33ffffffff,2.0,0.0,0.0,0.0
8454103ffffffff,70.0,36.0,0.0,0.0
8454139ffffffff,20.0,6.0,0.0,0.0
8454157ffffffff,2.0,2.0,0.0,0.0
8458d13ffffffff,4.0,2.0,0.0,0.0
8458dcdffffffff,2.0,2.0,0.0,0.0
8458de3ffffffff,3.0,0.0,0.0,0.0
8458de9ffffffff,2.0,0.0,0.0,0.0
846a493ffffffff,3.0,0.0,3.0,0.0
846a49dffffffff,1.0,0.0,0.0,0.0
846ac03ffffffff,36.0,8.0,0.0,0.0
846ac15ffffffff,13.0,3.0,0.0,0.0
846ac1dffffffff,4.0,4.0,0.0,0.0
846ac2bffffffff,1.0,0.0,0.0,0.0
846ac35ffffffff,2.0,2.0,0.0,0.0
846ac37ffffffff,9.0,1.0,0.0,0.0
846ac3dffffffff,9.0,0.0,0.0,0.0
846ac89ffffffff,3.0,0.0,0.0,0.0
846acadffffffff,6.0,2.0,0.0,0.0
846accbffffffff,6.0,2.0,0.0,0.0
846acd5ffffffff,6.0,2.0,0.0,0.0
846ace5ffffffff,12.0,3.0,0.0,0.0
846acebffffffff,3.0,0.0,0.0,0.0
846ad81ffffffff,77.0,11.0,0.0,0.0
