cell_id,Ortalis ruficauda,Ortalis ruficauda ruficrissa,Ortalis ruficauda ruficauda
845f5b5ffffffff,21.0,0.0,1.0
845f5bdffffffff,3.0,0.0,0.0
8466097ffffffff,5.0,0.0,0.0
8466219ffffffff,1.0,0.0,0.0
8466239ffffffff,3.0,0.0,0.0
8466565ffffffff,4.0,0.0,0.0
846656dffffffff,14.0,0.0,0.0
8466727ffffffff,3.0,0.0,0.0
8467413ffffffff,142.0,0.0,13.0
8467425ffffffff,9.0,0.0,2.0
8467427ffffffff,2.0,0.0,0.0
846743dffffffff,9.0,0.0,4.0
84674c5ffffffff,23.0,0.0,0.0
84674ebffffffff,1.0,0.0,0.0
8467519ffffffff,12.0,0.0,0.0
8467535ffffffff,1.0,0.0,1.0
8467539ffffffff,3.0,0.0,0.0
8467551ffffffff,2.0,0.0,0.0
84675c1ffffffff,2.0,0.0,0.0
84675cbffffffff,15.0,0.0,0.0
