cell_id,Cantorchilus nigricapillus,Cantorchilus nigricapillus [castaneus Group],Cantorchilus nigricapillus nigricapillus/connectens
826607fffffffff,7.0,0.0,1.0
82660ffffffffff,94.0,0.0,2.0
826617fffffffff,1510.0,164.0,0.0
82661ffffffffff,3952.0,0.0,107.0
8266a7fffffffff,5784.0,461.0,0.0
8266affffffffff,17.0,0.0,0.0
8266b7fffffffff,2309.0,13.0,0.0
8266d7fffffffff,6978.0,0.0,803.0
8266e7fffffffff,690.0,0.0,13.0
8266f7fffffffff,4019.0,0.0,126.0
82678ffffffffff,1.0,0.0,0.0
826797fffffffff,154.0,0.0,0.0
82679ffffffffff,2970.0,23.0,0.0
826d6ffffffffff,12935.0,0.0,0.0
828f0ffffffffff,911.0,0.0,184.0
828f27fffffffff,11.0,0.0,0.0
828f2ffffffffff,683.0,0.0,51.0
828f77fffffffff,11.0,0.0,0.0
