cell_id,Loriotus luctuosus,Loriotus luctuosus nitidissimus,Loriotus luctuosus [luctuosus Group]
824527fffffffff,117.0,0.0,0.0
824537fffffffff,207.0,0.0,0.0
825f07fffffffff,1.0,0.0,0.0
825f0ffffffffff,9.0,0.0,0.0
825f17fffffffff,4.0,0.0,0.0
825f2ffffffffff,59.0,0.0,0.0
825f47fffffffff,23.0,0.0,0.0
825f4ffffffffff,27.0,0.0,0.0
825f57fffffffff,2.0,0.0,0.0
825f5ffffffffff,306.0,0.0,0.0
825f6ffffffffff,41.0,0.0,0.0
825f77fffffffff,17.0,0.0,0.0
826607fffffffff,15.0,0.0,0.0
82660ffffffffff,866.0,0.0,0.0
826617fffffffff,2303.0,0.0,0.0
82661ffffffffff,1730.0,0.0,0.0
826627fffffffff,126.0,0.0,0.0
82662ffffffffff,68.0,0.0,0.0
826637fffffffff,7.0,0.0,0.0
826647fffffffff,9.0,0.0,0.0
826657fffffffff,28.0,0.0,0.0
82665ffffffffff,60.0,0.0,0.0
826667fffffffff,3.0,0.0,0.0
82666ffffffffff,1.0,0.0,0.0
826677fffffffff,1.0,0.0,0.0
8266a7fffffffff,9093.0,0.0,0.0
8266affffffffff,3.0,0.0,0.0
8266b7fffffffff,4600.0,0.0,0.0
8266c7fffffffff,324.0,0.0,0.0
8266cffffffffff,5.0,0.0,0.0
8266d7fffffffff,2774.0,0.0,0.0
8266dffffffffff,402.0,0.0,0.0
8266e7fffffffff,2565.0,0.0,0.0
8266effffffffff,30.0,0.0,0.0
8266f7fffffffff,772.0,0.0,0.0
826757fffffffff,1.0,0.0,0.0
82675ffffffffff,49.0,0.0,0.0
826797fffffffff,34.0,0.0,0.0
82679ffffffffff,860.0,0.0,0.0
826d6ffffffffff,4875.0,0.0,0.0
828047fffffffff,4.0,0.0,0.0
828057fffffffff,2.0,0.0,0.0
828067fffffffff,31.0,0.0,0.0
828077fffffffff,3.0,0.0,0.0
828147fffffffff,14.0,0.0,0.0
82814ffffffffff,231.0,0.0,0.0
82815ffffffffff,25.0,0.0,0.0
828167fffffffff,29.0,0.0,0.0
828177fffffffff,32.0,0.0,0.0
828a07fffffffff,26.0,0.0,0.0
828a17fffffffff,28.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a27fffffffff,11.0,0.0,0.0
828a37fffffffff,4.0,0.0,0.0
828a47fffffffff,28.0,0.0,0.0
828a6ffffffffff,26.0,0.0,0.0
828a77fffffffff,1.0,0.0,0.0
828a87fffffffff,13.0,0.0,0.0
828a97fffffffff,1.0,0.0,0.0
828a9ffffffffff,2.0,0.0,0.0
828aaffffffffff,8.0,0.0,0.0
828ab7fffffffff,3.0,0.0,0.0
828ac7fffffffff,1.0,0.0,0.0
828adffffffffff,18.0,0.0,0.0
828af7fffffffff,70.0,0.0,0.0
828b07fffffffff,2.0,0.0,0.0
828b0ffffffffff,22.0,0.0,0.0
828b17fffffffff,6.0,0.0,0.0
828b27fffffffff,63.0,0.0,0.0
828b2ffffffffff,12.0,0.0,0.0
828b47fffffffff,636.0,0.0,0.0
828b4ffffffffff,10.0,0.0,0.0
828b57fffffffff,61.0,0.0,0.0
828b5ffffffffff,62.0,0.0,0.0
828b67fffffffff,191.0,0.0,0.0
828b6ffffffffff,37.0,0.0,0.0
828b77fffffffff,42.0,0.0,0.0
828b87fffffffff,3.0,0.0,0.0
828b8ffffffffff,9.0,0.0,0.0
828b9ffffffffff,321.0,0.0,0.0
828ba7fffffffff,20.0,0.0,0.0
828bb7fffffffff,37.0,0.0,0.0
828e67fffffffff,6.0,0.0,0.0
828f0ffffffffff,609.0,0.0,0.0
828f27fffffffff,9.0,0.0,0.0
828f2ffffffffff,894.0,0.0,0.0
828f47fffffffff,103.0,0.0,0.0
828f4ffffffffff,6.0,0.0,0.0
828f57fffffffff,10.0,0.0,0.0
828f5ffffffffff,5.0,0.0,0.0
828f67fffffffff,5.0,0.0,0.0
828f6ffffffffff,4.0,0.0,0.0
828f77fffffffff,78.0,0.0,0.0
82a85ffffffffff,4.0,0.0,0.0
82b327fffffffff,3.0,0.0,0.0
