cell_id,Empidonax difficilis,Empidonax difficilis [difficilis Group],Empidonax difficilis occidentalis/hellmayri,Empidonax difficilis difficilis x hellmayri
840d039ffffffff,3.0,1.0,0.0,0.0
840d4d5ffffffff,4.0,4.0,0.0,0.0
8412805ffffffff,2.0,2.0,0.0,0.0
84128bdffffffff,9.0,9.0,0.0,0.0
84128d3ffffffff,3.0,3.0,0.0,0.0
8412b01ffffffff,3.0,3.0,0.0,0.0
8412b03ffffffff,1.0,1.0,0.0,0.0
8412b0bffffffff,5.0,5.0,0.0,0.0
8412b17ffffffff,2.0,2.0,0.0,0.0
8412b4bffffffff,2.0,2.0,0.0,0.0
8412c11ffffffff,2.0,0.0,2.0,0.0
8412c13ffffffff,2.0,2.0,0.0,0.0
8412ca1ffffffff,4.0,0.0,0.0,0.0
8412ca9ffffffff,4.0,0.0,2.0,0.0
8412cabffffffff,7.0,2.0,0.0,0.0
8412cadffffffff,4.0,4.0,0.0,0.0
8412cb5ffffffff,3.0,0.0,3.0,0.0
8412cbdffffffff,1.0,0.0,0.0,0.0
8412ccdffffffff,22.0,19.0,0.0,0.0
8412d11ffffffff,2.0,2.0,0.0,0.0
8412d15ffffffff,1.0,1.0,0.0,0.0
8412d17ffffffff,1.0,1.0,0.0,0.0
8412d3bffffffff,1.0,1.0,0.0,0.0
8412d41ffffffff,3.0,3.0,0.0,0.0
8412d89ffffffff,2.0,2.0,0.0,0.0
8412d97ffffffff,2.0,0.0,2.0,0.0
8412db5ffffffff,5.0,5.0,0.0,0.0
8412db9ffffffff,3.0,0.0,0.0,0.0
8412dd9ffffffff,1.0,1.0,0.0,0.0
8412ddbffffffff,5.0,5.0,0.0,0.0
8412e13ffffffff,2.0,0.0,0.0,0.0
8412ea5ffffffff,2.0,2.0,0.0,0.0
8412f13ffffffff,1.0,0.0,0.0,0.0
841382dffffffff,2.0,2.0,0.0,0.0
841383dffffffff,7.0,5.0,0.0,0.0
8413867ffffffff,16.0,16.0,0.0,0.0
841d34dffffffff,2.0,2.0,0.0,0.0
8426127ffffffff,8.0,0.0,8.0,0.0
8426369ffffffff,1.0,0.0,0.0,0.0
84264e5ffffffff,1.0,1.0,0.0,0.0
8426801ffffffff,5.0,0.0,5.0,0.0
8426811ffffffff,5.0,0.0,5.0,0.0
8426813ffffffff,30.0,0.0,30.0,0.0
8426817ffffffff,1.0,0.0,1.0,0.0
8426819ffffffff,23.0,0.0,23.0,0.0
842681bffffffff,33.0,0.0,33.0,0.0
8426833ffffffff,2.0,0.0,2.0,0.0
8426839ffffffff,2.0,0.0,2.0,0.0
8426847ffffffff,2.0,0.0,2.0,0.0
8426853ffffffff,5.0,0.0,5.0,0.0
8426857ffffffff,1.0,0.0,1.0,0.0
8426859ffffffff,6.0,0.0,6.0,0.0
842685bffffffff,4.0,0.0,4.0,0.0
8426885ffffffff,10.0,0.0,10.0,0.0
8426887ffffffff,5.0,0.0,4.0,0.0
8426889ffffffff,62.0,0.0,61.0,0.0
842688bffffffff,10.0,0.0,0.0,0.0
842688dffffffff,2.0,0.0,2.0,0.0
8426893ffffffff,2.0,0.0,0.0,0.0
84268a9ffffffff,4.0,0.0,4.0,0.0
84268abffffffff,4.0,0.0,4.0,0.0
84268bbffffffff,2.0,0.0,2.0,0.0
84268c1ffffffff,11.0,0.0,11.0,0.0
84268c5ffffffff,18.0,0.0,18.0,0.0
84268c7ffffffff,12.0,0.0,12.0,0.0
84268c9ffffffff,2.0,0.0,2.0,0.0
84268cdffffffff,24.0,0.0,22.0,0.0
84268d5ffffffff,32.0,0.0,32.0,0.0
84268d9ffffffff,3.0,0.0,3.0,0.0
84268dbffffffff,2.0,0.0,2.0,0.0
84268e9ffffffff,1.0,0.0,1.0,0.0
84268ebffffffff,6.0,0.0,6.0,0.0
84268edffffffff,2.0,0.0,2.0,0.0
8426905ffffffff,2.0,0.0,2.0,0.0
