cell_id,Pachyramphus viridis,Pachyramphus viridis xanthogenys/peruanus,Pachyramphus viridis griseigularis,Pachyramphus viridis viridis
845f03dffffffff,5.0,0.0,0.0,0.0
845f42bffffffff,2.0,0.0,0.0,0.0
845f711ffffffff,1.0,0.0,0.0,0.0
8466da7ffffffff,2.0,0.0,0.0,0.0
8466da9ffffffff,4.0,0.0,0.0,0.0
8466dadffffffff,23.0,6.0,0.0,0.0
8466de1ffffffff,176.0,110.0,0.0,0.0
8466de3ffffffff,1.0,0.0,0.0,0.0
8466de7ffffffff,1.0,1.0,0.0,0.0
8466de9ffffffff,3.0,0.0,0.0,0.0
8466debffffffff,8.0,3.0,0.0,0.0
8480007ffffffff,2.0,0.0,0.0,0.0
8480027ffffffff,2.0,0.0,0.0,0.0
8480061ffffffff,3.0,0.0,0.0,3.0
8480101ffffffff,2.0,0.0,0.0,0.0
8480141ffffffff,12.0,0.0,0.0,0.0
848014bffffffff,2.0,0.0,0.0,0.0
848016bffffffff,5.0,0.0,0.0,0.0
8480301ffffffff,50.0,0.0,0.0,2.0
8480305ffffffff,11.0,0.0,0.0,3.0
8480309ffffffff,9.0,0.0,0.0,0.0
848030dffffffff,2.0,0.0,0.0,0.0
848032dffffffff,2.0,0.0,0.0,0.0
8480359ffffffff,2.0,0.0,0.0,2.0
8480363ffffffff,11.0,0.0,0.0,2.0
8480463ffffffff,2.0,0.0,0.0,0.0
8481013ffffffff,3.0,0.0,0.0,0.0
8481029ffffffff,15.0,0.0,0.0,0.0
8481049ffffffff,3.0,0.0,0.0,0.0
8481061ffffffff,2.0,0.0,0.0,0.0
8481063ffffffff,4.0,0.0,0.0,0.0
8481149ffffffff,2.0,0.0,0.0,0.0
848114bffffffff,2.0,0.0,0.0,0.0
8481163ffffffff,1.0,0.0,0.0,0.0
8481193ffffffff,3.0,0.0,0.0,0.0
84811adffffffff,2.0,0.0,0.0,2.0
84811e9ffffffff,2.0,0.0,0.0,0.0
8481211ffffffff,18.0,0.0,0.0,1.0
8481215ffffffff,5.0,0.0,0.0,0.0
8481219ffffffff,8.0,0.0,0.0,0.0
848121dffffffff,7.0,0.0,0.0,5.0
848123bffffffff,2.0,0.0,0.0,2.0
848124bffffffff,35.0,0.0,0.0,9.0
848124dffffffff,2.0,0.0,0.0,0.0
84812bdffffffff,2.0,0.0,0.0,0.0
8481303ffffffff,10.0,0.0,0.0,0.0
8481307ffffffff,8.0,0.0,0.0,5.0
8481321ffffffff,13.0,0.0,0.0,1.0
8481323ffffffff,3.0,0.0,0.0,0.0
8481327ffffffff,37.0,0.0,0.0,14.0
8481335ffffffff,1.0,0.0,0.0,1.0
8481339ffffffff,125.0,0.0,0.0,15.0
848133dffffffff,2.0,0.0,0.0,0.0
8481343ffffffff,4.0,0.0,0.0,0.0
8481363ffffffff,84.0,0.0,0.0,5.0
8481401ffffffff,1.0,0.0,0.0,1.0
8481447ffffffff,2.0,0.0,0.0,2.0
848145dffffffff,1.0,0.0,0.0,0.0
848146bffffffff,12.0,0.0,0.0,6.0
84814e3ffffffff,4.0,0.0,0.0,0.0
84814e7ffffffff,9.0,0.0,0.0,0.0
8481523ffffffff,1.0,0.0,0.0,1.0
8481583ffffffff,2.0,0.0,0.0,0.0
84815c9ffffffff,2.0,0.0,0.0,2.0
84815d3ffffffff,4.0,0.0,0.0,0.0
84815d9ffffffff,1.0,0.0,0.0,0.0
84815e9ffffffff,1.0,0.0,0.0,0.0
8481609ffffffff,1.0,0.0,0.0,0.0
8481637ffffffff,2.0,0.0,0.0,0.0
8481711ffffffff,17.0,0.0,0.0,6.0
8481713ffffffff,14.0,0.0,0.0,2.0
848180bffffffff,5.0,0.0,0.0,0.0
8481831ffffffff,1.0,0.0,0.0,0.0
8481833ffffffff,3.0,0.0,0.0,2.0
8481839ffffffff,3.0,0.0,0.0,0.0
848183bffffffff,2.0,0.0,0.0,0.0
8481851ffffffff,14.0,0.0,0.0,5.0
8481857ffffffff,49.0,0.0,0.0,3.0
8481885ffffffff,3.0,0.0,0.0,1.0
84818a7ffffffff,3.0,0.0,0.0,0.0
84818d9ffffffff,2.0,0.0,0.0,0.0
84818e1ffffffff,2.0,0.0,0.0,0.0
8481ad1ffffffff,3.0,0.0,0.0,0.0
848a925ffffffff,3.0,0.0,0.0,0.0
848b08bffffffff,3.0,0.0,0.0,0.0
848b0c1ffffffff,4.0,0.0,0.0,0.0
848b0c3ffffffff,1.0,0.0,0.0,0.0
848b0c9ffffffff,3.0,0.0,0.0,0.0
848b11bffffffff,2.0,0.0,0.0,0.0
848b1edffffffff,1.0,0.0,0.0,0.0
848b203ffffffff,1.0,0.0,0.0,0.0
848b205ffffffff,2.0,0.0,0.0,0.0
848b223ffffffff,2.0,0.0,0.0,0.0
848b229ffffffff,5.0,0.0,0.0,0.0
848b22dffffffff,2.0,0.0,0.0,0.0
848b2a5ffffffff,1.0,0.0,0.0,0.0
848b2a7ffffffff,2.0,0.0,0.0,0.0
848b4e5ffffffff,3.0,3.0,0.0,0.0
848b513ffffffff,7.0,7.0,0.0,0.0
848b5c3ffffffff,2.0,2.0,0.0,0.0
848b5cdffffffff,69.0,64.0,0.0,0.0
848b761ffffffff,1.0,0.0,0.0,0.0
848b881ffffffff,1.0,0.0,0.0,0.0
848ba6dffffffff,3.0,0.0,0.0,0.0
848bb59ffffffff,23.0,0.0,0.0,0.0
848e643ffffffff,7.0,0.0,0.0,0.0
848e649ffffffff,3.0,0.0,0.0,0.0
848e64bffffffff,21.0,0.0,0.0,0.0
848e651ffffffff,2.0,0.0,0.0,0.0
848f29bffffffff,2.0,0.0,0.0,0.0
848f401ffffffff,18.0,5.0,0.0,0.0
848f439ffffffff,42.0,20.0,0.0,0.0
