cell_id,Acanthis flammea,Acanthis flammea flammea,Acanthis flammea rostrata/islandica,Acanthis flammea cabaret,Acanthis flammea exilipes,Acanthis flammea hornemanni,Acanthis flammea flammea/rostrata/islandica,Acanthis flammea [flammea Group/cabaret],Acanthis flammea hornemanni/exilipes,Acanthis flammea [flammea Group/hornemanni/exilipes],Acanthis flammea [flammea Group x hornemanni/exilipes]
820127fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820137fffffffff,6.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
82025ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
820637fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
82068ffffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8206d7fffffffff,31.0,0.0,26.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
8206dffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
820747fffffffff,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
82074ffffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
820757fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820777fffffffff,25.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,4.0,2.0,0.0
820817fffffffff,10.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
820887fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
82089ffffffffff,15.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208a7fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8208cffffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208d7fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208e7fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82095ffffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820987fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
820997fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8209a7fffffffff,27.0,1.0,1.0,1.0,2.0,6.0,2.0,3.0,11.0,0.0,0.0
820c17fffffffff,43.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,31.0,0.0
820c1ffffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,117.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,9.0,13.0,0.0
820c57fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
820c67fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0
820c6ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
820c77fffffffff,50.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,30.0,2.0,0.0
820ca7fffffffff,136.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,70.0,47.0,0.0
820ccffffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820cdffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820d07fffffffff,713.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,689.0,0.0
820d0ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
820d1ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
820d4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
820d57fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
820d5ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
820d67fffffffff,55.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,48.0,2.0,1.0
820d77fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0
820e07fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
820e0ffffffffff,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
820e2ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
820e47fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
820e4ffffffffff,38.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,12.0,0.0,0.0
820e67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
820e6ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0
820e87fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
820e8ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
820e97fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
820ec7fffffffff,121.0,2.0,0.0,0.0,0.0,0.0,116.0,0.0,3.0,0.0,0.0
820ecffffffffff,162.0,12.0,9.0,0.0,16.0,11.0,83.0,0.0,15.0,16.0,0.0
820edffffffffff,11.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0
820ee7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
820eeffffffffff,623.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,23.0,0.0
820ef7fffffffff,10.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
821187fffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8211affffffffff,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
82124ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
821257fffffffff,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0
82125ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
82126ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
821277fffffffff,37.0,4.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,0.0
821287fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82128ffffffffff,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
