cell_id,Mionectes oleagineus,Mionectes oleagineus assimilis,Mionectes oleagineus parcus,Mionectes oleagineus pacificus,Mionectes oleagineus [oleagineus Group]
844505bffffffff,7.0,0.0,0.0,0.0,0.0
844508dffffffff,6.0,0.0,0.0,0.0,0.0
84450a9ffffffff,4.0,0.0,0.0,0.0,0.0
84450cdffffffff,5.0,0.0,0.0,0.0,0.0
84450e3ffffffff,9.0,0.0,0.0,0.0,0.0
84450ebffffffff,13.0,0.0,0.0,0.0,0.0
8445201ffffffff,9.0,0.0,0.0,0.0,0.0
8445203ffffffff,142.0,0.0,0.0,0.0,0.0
8445205ffffffff,32.0,0.0,0.0,0.0,0.0
8445207ffffffff,55.0,0.0,0.0,0.0,0.0
8445209ffffffff,13.0,0.0,0.0,0.0,0.0
844520bffffffff,108.0,0.0,0.0,0.0,0.0
844520dffffffff,126.0,0.0,0.0,0.0,0.0
8445211ffffffff,26.0,0.0,0.0,0.0,0.0
8445213ffffffff,34.0,0.0,0.0,0.0,0.0
8445215ffffffff,371.0,0.0,0.0,0.0,0.0
8445217ffffffff,251.0,0.0,0.0,0.0,0.0
8445219ffffffff,2.0,0.0,0.0,0.0,0.0
844521dffffffff,135.0,0.0,0.0,0.0,0.0
8445221ffffffff,156.0,0.0,0.0,0.0,0.0
8445225ffffffff,579.0,0.0,0.0,0.0,0.0
8445229ffffffff,3.0,0.0,0.0,0.0,0.0
844522bffffffff,8.0,0.0,0.0,0.0,0.0
844522dffffffff,9.0,0.0,0.0,0.0,0.0
8445233ffffffff,516.0,0.0,0.0,0.0,0.0
844523bffffffff,32.0,0.0,0.0,0.0,0.0
8445241ffffffff,6.0,0.0,0.0,0.0,0.0
8445243ffffffff,47.0,0.0,0.0,0.0,0.0
8445245ffffffff,4.0,0.0,0.0,0.0,0.0
8445247ffffffff,30.0,0.0,0.0,0.0,0.0
8445249ffffffff,7.0,0.0,0.0,0.0,0.0
8445251ffffffff,10.0,0.0,0.0,0.0,0.0
8445253ffffffff,4.0,0.0,0.0,0.0,0.0
8445255ffffffff,70.0,0.0,0.0,0.0,0.0
8445257ffffffff,90.0,0.0,0.0,0.0,0.0
844525bffffffff,2.0,0.0,0.0,0.0,0.0
844525dffffffff,4.0,0.0,0.0,0.0,0.0
8445261ffffffff,8.0,0.0,0.0,0.0,0.0
8445263ffffffff,427.0,0.0,0.0,0.0,0.0
8445267ffffffff,16.0,0.0,0.0,0.0,0.0
8445269ffffffff,9.0,0.0,0.0,0.0,0.0
844526bffffffff,57.0,0.0,0.0,0.0,0.0
8445283ffffffff,4.0,0.0,0.0,0.0,0.0
8445285ffffffff,42.0,0.0,0.0,0.0,0.0
8445287ffffffff,28.0,0.0,0.0,0.0,0.0
8445289ffffffff,183.0,0.0,0.0,0.0,0.0
844528dffffffff,56.0,0.0,0.0,0.0,0.0
84452a1ffffffff,28.0,0.0,0.0,0.0,0.0
84452a3ffffffff,2.0,0.0,0.0,0.0,0.0
84452a5ffffffff,8.0,0.0,0.0,0.0,0.0
84452a7ffffffff,3.0,0.0,0.0,0.0,0.0
84452a9ffffffff,316.0,0.0,0.0,0.0,0.0
84452abffffffff,45.0,0.0,0.0,0.0,0.0
84452adffffffff,349.0,0.0,0.0,0.0,0.0
84452b5ffffffff,2.0,0.0,0.0,0.0,0.0
84452b9ffffffff,5.0,0.0,0.0,0.0,0.0
84452bdffffffff,21.0,0.0,0.0,0.0,0.0
84452c1ffffffff,2.0,0.0,0.0,0.0,0.0
84452c3ffffffff,113.0,0.0,0.0,0.0,0.0
84452c5ffffffff,43.0,0.0,0.0,0.0,0.0
84452c7ffffffff,59.0,0.0,0.0,0.0,0.0
84452c9ffffffff,15.0,0.0,0.0,0.0,0.0
84452cbffffffff,2.0,0.0,0.0,0.0,0.0
84452cdffffffff,3.0,0.0,0.0,0.0,0.0
84452d5ffffffff,4.0,0.0,0.0,0.0,0.0
84452d9ffffffff,34.0,0.0,0.0,0.0,0.0
84452dbffffffff,12.0,0.0,0.0,0.0,0.0
84452e1ffffffff,2146.0,0.0,0.0,0.0,0.0
84452e3ffffffff,341.0,0.0,0.0,0.0,0.0
84452e5ffffffff,835.0,0.0,0.0,0.0,0.0
84452e7ffffffff,64.0,0.0,0.0,0.0,0.0
84452e9ffffffff,130.0,0.0,0.0,0.0,0.0
84452ebffffffff,722.0,0.0,0.0,0.0,0.0
84452edffffffff,83.0,0.0,0.0,0.0,0.0
8445303ffffffff,3.0,0.0,0.0,0.0,0.0
8445305ffffffff,9.0,0.0,0.0,0.0,0.0
8445309ffffffff,16.0,0.0,0.0,0.0,0.0
844530dffffffff,2.0,0.0,0.0,0.0,0.0
8445319ffffffff,47.0,0.0,0.0,0.0,0.0
8445321ffffffff,2.0,0.0,0.0,0.0,0.0
844532bffffffff,19.0,0.0,0.0,0.0,0.0
8445343ffffffff,121.0,0.0,0.0,0.0,0.0
8445345ffffffff,2.0,0.0,0.0,0.0,0.0
844534dffffffff,3.0,0.0,0.0,0.0,0.0
8445351ffffffff,112.0,0.0,0.0,0.0,0.0
8445353ffffffff,1.0,0.0,0.0,0.0,0.0
8445355ffffffff,4.0,0.0,0.0,0.0,0.0
8445363ffffffff,19.0,0.0,0.0,0.0,0.0
8445365ffffffff,42.0,0.0,0.0,0.0,0.0
8445367ffffffff,20.0,0.0,0.0,0.0,0.0
8445649ffffffff,23.0,0.0,0.0,0.0,0.0
8445749ffffffff,1.0,0.0,0.0,0.0,0.0
