cell_id,Scytalopus argentifrons,Scytalopus argentifrons argentifrons,Scytalopus argentifrons chiriquensis
8466a29ffffffff,12.0,0.0,0.0
8466a2dffffffff,36.0,3.0,0.0
8466b41ffffffff,245.0,0.0,0.0
8466b43ffffffff,2.0,0.0,0.0
8466b45ffffffff,770.0,0.0,0.0
8466b49ffffffff,112.0,0.0,0.0
8466b4dffffffff,1635.0,0.0,0.0
8466b51ffffffff,762.0,85.0,0.0
8466b53ffffffff,1.0,0.0,0.0
8466b55ffffffff,93.0,0.0,0.0
8466b5bffffffff,339.0,13.0,3.0
8466b5dffffffff,12.0,0.0,0.0
84679a7ffffffff,57.0,0.0,0.0
846d68bffffffff,9.0,0.0,0.0
846d691ffffffff,888.0,0.0,0.0
846d693ffffffff,68.0,0.0,0.0
846d699ffffffff,1.0,0.0,0.0
846d69bffffffff,853.0,0.0,0.0
846d69dffffffff,1195.0,0.0,0.0
