cell_id,Megascops roboratus,Megascops roboratus pacificus,Megascops roboratus roboratus
838f08fffffffff,15.0,0.0,0.0
838f09fffffffff,5.0,0.0,0.0
838f0dfffffffff,333.0,27.0,0.0
838f28fffffffff,18.0,0.0,0.0
838f2afffffffff,27.0,7.0,0.0
838f2bfffffffff,24.0,8.0,0.0
838f2cfffffffff,1.0,0.0,0.0
838f2efffffffff,13.0,0.0,0.0
838f50fffffffff,267.0,40.0,0.0
838f51fffffffff,4.0,0.0,0.0
838f54fffffffff,89.0,2.0,1.0
838f55fffffffff,21.0,0.0,0.0
838f56fffffffff,5.0,2.0,0.0
838f72fffffffff,19.0,2.0,0.0
838f73fffffffff,2.0,0.0,0.0
