cell_id,Aethopyga christinae,Aethopyga christinae latouchii/sokolovi,Aethopyga christinae christinae
84400c1ffffffff,4.0,0.0,0.0
8441719ffffffff,3.0,0.0,3.0
8441919ffffffff,2.0,2.0,0.0
8441a43ffffffff,4.0,0.0,0.0
8441a55ffffffff,1.0,0.0,0.0
8441b53ffffffff,2.0,0.0,0.0
8465b57ffffffff,1.0,0.0,0.0
