cell_id,Anas georgica,Anas georgica georgica,Anas georgica spinicauda/niceforoi
82661ffffffffff,1.0,0.0,0.0
8266c7fffffffff,68.0,0.0,4.0
8266d7fffffffff,1622.0,0.0,244.0
8266dffffffffff,1286.0,0.0,264.0
8266e7fffffffff,5.0,0.0,0.0
8266f7fffffffff,24.0,0.0,0.0
828b27fffffffff,35.0,0.0,0.0
828b2ffffffffff,300.0,0.0,0.0
828b67fffffffff,1871.0,0.0,113.0
828b6ffffffffff,30.0,0.0,0.0
828b77fffffffff,6.0,0.0,0.0
828e67fffffffff,255.0,0.0,0.0
828e6ffffffffff,24.0,0.0,0.0
828f0ffffffffff,41.0,0.0,0.0
828f2ffffffffff,481.0,0.0,85.0
828f47fffffffff,17.0,0.0,0.0
828f57fffffffff,184.0,0.0,0.0
828f5ffffffffff,74.0,0.0,0.0
828f77fffffffff,126.0,0.0,7.0
82a807fffffffff,1.0,0.0,0.0
82a827fffffffff,79.0,0.0,0.0
82a837fffffffff,17.0,0.0,4.0
82a907fffffffff,281.0,0.0,6.0
82a90ffffffffff,48.0,0.0,1.0
82a91ffffffffff,102.0,0.0,0.0
82a927fffffffff,22.0,0.0,0.0
82a92ffffffffff,268.0,0.0,4.0
82a947fffffffff,2.0,0.0,0.0
82a967fffffffff,15.0,0.0,0.0
82a977fffffffff,13.0,0.0,0.0
82b207fffffffff,274.0,0.0,0.0
82b20ffffffffff,22.0,0.0,0.0
82b21ffffffffff,1498.0,0.0,22.0
82b227fffffffff,16.0,0.0,0.0
82b22ffffffffff,40.0,0.0,0.0
82b247fffffffff,157.0,0.0,2.0
82b24ffffffffff,504.0,0.0,15.0
82b257fffffffff,12.0,0.0,0.0
82b25ffffffffff,928.0,0.0,10.0
82b267fffffffff,32.0,0.0,0.0
82b26ffffffffff,29.0,0.0,0.0
82b277fffffffff,186.0,0.0,0.0
82b2c7fffffffff,11009.0,0.0,587.0
82b2cffffffffff,368.0,0.0,17.0
82b2dffffffffff,1761.0,0.0,28.0
82b2e7fffffffff,1152.0,0.0,20.0
82b2effffffffff,589.0,0.0,0.0
82b307fffffffff,370.0,0.0,16.0
82b30ffffffffff,220.0,0.0,1.0
82b31ffffffffff,23.0,0.0,0.0
82b327fffffffff,395.0,0.0,0.0
82b32ffffffffff,152.0,0.0,0.0
82b337fffffffff,148.0,0.0,0.0
82b347fffffffff,19.0,0.0,0.0
82b357fffffffff,1028.0,0.0,1.0
82b35ffffffffff,953.0,0.0,0.0
82b367fffffffff,6.0,0.0,0.0
82b377fffffffff,3.0,0.0,0.0
82c207fffffffff,187.0,0.0,1.0
82c21ffffffffff,976.0,0.0,1.0
82c227fffffffff,126.0,0.0,0.0
82c22ffffffffff,725.0,0.0,0.0
82c2c7fffffffff,401.0,0.0,0.0
82c2cffffffffff,62.0,0.0,0.0
82c2d7fffffffff,259.0,0.0,0.0
82c2dffffffffff,28.0,0.0,0.0
82c2e7fffffffff,2141.0,0.0,0.0
82c2effffffffff,230.0,0.0,0.0
82c2f7fffffffff,1723.0,0.0,1.0
82c307fffffffff,2.0,0.0,0.0
82c30ffffffffff,38.0,0.0,0.0
82c327fffffffff,349.0,0.0,0.0
82c32ffffffffff,250.0,0.0,0.0
82c347fffffffff,340.0,0.0,0.0
82c34ffffffffff,382.0,0.0,2.0
82c357fffffffff,294.0,0.0,0.0
82c35ffffffffff,81.0,0.0,0.0
82c367fffffffff,194.0,0.0,0.0
82c36ffffffffff,21.0,0.0,0.0
82c377fffffffff,122.0,0.0,0.0
82ce17fffffffff,40.0,0.0,2.0
82ce37fffffffff,2.0,0.0,0.0
82ce87fffffffff,1493.0,0.0,2.0
82ce8ffffffffff,1992.0,0.0,17.0
82ce97fffffffff,975.0,0.0,0.0
82ce9ffffffffff,1245.0,0.0,4.0
82cea7fffffffff,544.0,0.0,3.0
82ceaffffffffff,4503.0,0.0,244.0
82ceb7fffffffff,13.0,0.0,0.0
82cf17fffffffff,918.0,0.0,103.0
82cf87fffffffff,176.0,0.0,0.0
82cf8ffffffffff,1038.0,0.0,9.0
82cf97fffffffff,100.0,0.0,0.0
82cf9ffffffffff,152.0,0.0,0.0
82cfa7fffffffff,2412.0,0.0,27.0
82cfaffffffffff,1199.0,0.0,7.0
82cfb7fffffffff,36.0,0.0,0.0
82de67fffffffff,20.0,0.0,0.0
82de77fffffffff,31.0,0.0,0.0
82de87fffffffff,214.0,154.0,0.0
82de97fffffffff,561.0,427.0,0.0
82df47fffffffff,1159.0,0.0,97.0
82df4ffffffffff,8.0,0.0,0.0
82df6ffffffffff,2192.0,0.0,342.0
