cell_id,Amazona autumnalis,Amazona autumnalis autumnalis/salvini,Amazona autumnalis lilacina,Amazona autumnalis diadema
8429a03ffffffff,2.0,0.0,0.0,0.0
8429a0bffffffff,107.0,0.0,0.0,0.0
8429a19ffffffff,6.0,0.0,0.0,0.0
8429a1dffffffff,313.0,0.0,0.0,0.0
8429a57ffffffff,2.0,0.0,0.0,0.0
8445019ffffffff,5.0,0.0,0.0,0.0
844501bffffffff,6.0,0.0,0.0,0.0
8445053ffffffff,26.0,5.0,0.0,0.0
8445059ffffffff,14.0,0.0,0.0,0.0
844505bffffffff,344.0,15.0,0.0,0.0
8445085ffffffff,6.0,0.0,0.0,0.0
844509bffffffff,172.0,0.0,0.0,0.0
84450a1ffffffff,4.0,0.0,0.0,0.0
84450a5ffffffff,16.0,0.0,0.0,0.0
84450a7ffffffff,29.0,1.0,0.0,0.0
84450a9ffffffff,2.0,0.0,0.0,0.0
84450adffffffff,5.0,0.0,0.0,0.0
84450c1ffffffff,7.0,0.0,0.0,0.0
84450c5ffffffff,2.0,0.0,0.0,0.0
84450c9ffffffff,5.0,0.0,0.0,0.0
84450cdffffffff,15.0,0.0,0.0,0.0
84450d5ffffffff,2.0,0.0,0.0,0.0
84450e1ffffffff,7.0,0.0,0.0,0.0
84450e3ffffffff,5.0,0.0,0.0,0.0
84450ebffffffff,10.0,3.0,0.0,0.0
844519bffffffff,9.0,0.0,0.0,0.0
8445201ffffffff,5.0,0.0,0.0,0.0
8445203ffffffff,88.0,17.0,0.0,0.0
8445205ffffffff,43.0,0.0,0.0,0.0
8445207ffffffff,148.0,4.0,0.0,0.0
844520dffffffff,269.0,0.0,0.0,0.0
8445211ffffffff,11.0,0.0,0.0,0.0
8445213ffffffff,102.0,0.0,0.0,0.0
8445215ffffffff,1930.0,21.0,0.0,0.0
8445217ffffffff,615.0,5.0,0.0,0.0
8445219ffffffff,4.0,0.0,0.0,0.0
844521dffffffff,80.0,10.0,0.0,0.0
8445221ffffffff,157.0,0.0,0.0,0.0
8445225ffffffff,606.0,0.0,0.0,0.0
8445229ffffffff,3.0,0.0,0.0,0.0
844522bffffffff,74.0,0.0,0.0,0.0
844522dffffffff,4.0,0.0,0.0,0.0
8445231ffffffff,12.0,0.0,0.0,0.0
8445233ffffffff,1207.0,69.0,0.0,0.0
844523bffffffff,323.0,6.0,0.0,0.0
8445243ffffffff,9.0,0.0,0.0,0.0
8445253ffffffff,8.0,0.0,0.0,0.0
8445255ffffffff,22.0,0.0,0.0,0.0
8445257ffffffff,38.0,6.0,0.0,0.0
8445263ffffffff,444.0,0.0,0.0,0.0
8445267ffffffff,6.0,0.0,0.0,0.0
844526bffffffff,362.0,0.0,0.0,0.0
8445281ffffffff,5.0,0.0,0.0,0.0
8445283ffffffff,11.0,2.0,0.0,0.0
8445285ffffffff,36.0,0.0,0.0,0.0
8445287ffffffff,24.0,8.0,0.0,0.0
8445289ffffffff,887.0,75.0,0.0,0.0
844528dffffffff,140.0,3.0,0.0,0.0
8445293ffffffff,2.0,0.0,0.0,0.0
8445295ffffffff,2.0,2.0,0.0,0.0
8445297ffffffff,2.0,0.0,0.0,0.0
8445299ffffffff,2.0,0.0,0.0,0.0
844529bffffffff,11.0,1.0,0.0,0.0
84452a1ffffffff,49.0,2.0,0.0,0.0
84452a3ffffffff,12.0,2.0,0.0,0.0
84452a5ffffffff,106.0,0.0,0.0,0.0
84452a7ffffffff,12.0,0.0,0.0,0.0
84452a9ffffffff,381.0,40.0,0.0,0.0
84452abffffffff,38.0,0.0,0.0,0.0
84452adffffffff,2893.0,311.0,0.0,0.0
84452b5ffffffff,17.0,0.0,0.0,0.0
84452b9ffffffff,20.0,8.0,0.0,0.0
84452bdffffffff,21.0,0.0,0.0,0.0
84452c1ffffffff,73.0,15.0,0.0,0.0
84452c3ffffffff,680.0,124.0,0.0,0.0
84452c5ffffffff,144.0,24.0,0.0,0.0
84452c7ffffffff,378.0,13.0,0.0,0.0
84452c9ffffffff,64.0,17.0,0.0,0.0
84452cbffffffff,54.0,2.0,0.0,0.0
84452d5ffffffff,26.0,0.0,0.0,0.0
84452d7ffffffff,3.0,0.0,0.0,0.0
84452d9ffffffff,138.0,45.0,0.0,0.0
84452dbffffffff,11.0,0.0,0.0,0.0
84452e1ffffffff,6312.0,242.0,0.0,0.0
84452e3ffffffff,1135.0,42.0,0.0,0.0
84452e5ffffffff,2074.0,55.0,0.0,0.0
84452e7ffffffff,409.0,11.0,0.0,0.0
84452e9ffffffff,265.0,4.0,0.0,0.0
84452ebffffffff,2033.0,355.0,0.0,0.0
84452edffffffff,226.0,0.0,0.0,0.0
8445303ffffffff,22.0,0.0,0.0,0.0
8445307ffffffff,4.0,0.0,0.0,0.0
8445309ffffffff,11.0,0.0,0.0,0.0
844530dffffffff,2.0,0.0,0.0,0.0
8445313ffffffff,1.0,0.0,0.0,0.0
8445319ffffffff,39.0,0.0,0.0,0.0
844531dffffffff,2.0,0.0,0.0,0.0
8445321ffffffff,40.0,0.0,0.0,0.0
844532bffffffff,165.0,0.0,0.0,0.0
8445341ffffffff,2.0,0.0,0.0,0.0
8445343ffffffff,16.0,0.0,0.0,0.0
