cell_id,Gygis alba,Gygis alba alba,Gygis alba candida/leucopes,Gygis alba microrhyncha
834602fffffffff,2.0,0.0,0.0,0.0
834606fffffffff,4.0,0.0,0.0,0.0
834608fffffffff,24.0,0.0,0.0,0.0
834609fffffffff,6.0,0.0,0.0,0.0
83460bfffffffff,2.0,0.0,0.0,0.0
834633fffffffff,96.0,0.0,0.0,0.0
834642fffffffff,43.0,0.0,0.0,0.0
834643fffffffff,13.0,0.0,0.0,0.0
834648fffffffff,71.0,0.0,6.0,0.0
834649fffffffff,533.0,0.0,227.0,0.0
83464afffffffff,2.0,0.0,0.0,0.0
83464bfffffffff,1905.0,0.0,691.0,0.0
834654fffffffff,10.0,0.0,0.0,0.0
834655fffffffff,11.0,0.0,0.0,0.0
8347a2fffffffff,2.0,0.0,0.0,0.0
8347a3fffffffff,324.0,0.0,1.0,0.0
834a4afffffffff,1.0,0.0,0.0,0.0
834e46fffffffff,3.0,0.0,2.0,0.0
834e55fffffffff,2.0,0.0,1.0,0.0
834e64fffffffff,245.0,0.0,16.0,0.0
834e71fffffffff,3.0,0.0,1.0,0.0
834e75fffffffff,1.0,0.0,1.0,0.0
834f40fffffffff,1.0,0.0,0.0,0.0
834f49fffffffff,455.0,0.0,158.0,0.0
834f4afffffffff,5.0,0.0,4.0,0.0
834f4bfffffffff,290.0,0.0,15.0,0.0
834f59fffffffff,1.0,0.0,1.0,0.0
834f5dfffffffff,1.0,0.0,0.0,0.0
834f60fffffffff,1.0,0.0,0.0,0.0
835a09fffffffff,1.0,0.0,0.0,0.0
835ae8fffffffff,1.0,0.0,1.0,0.0
835b43fffffffff,3.0,0.0,0.0,0.0
835d10fffffffff,50.0,0.0,22.0,0.0
835d12fffffffff,257.0,0.0,25.0,0.0
835d13fffffffff,2.0,0.0,0.0,0.0
836142fffffffff,4.0,0.0,0.0,0.0
836682fffffffff,3.0,0.0,0.0,0.0
836696fffffffff,1.0,0.0,0.0,0.0
836699fffffffff,5.0,0.0,0.0,0.0
83669dfffffffff,4.0,0.0,0.0,0.0
836c61fffffffff,236.0,0.0,0.0,0.0
836c65fffffffff,40.0,0.0,0.0,0.0
836d49fffffffff,3.0,0.0,0.0,0.0
836d4bfffffffff,2.0,0.0,0.0,0.0
836e9dfffffffff,1.0,0.0,1.0,0.0
837065fffffffff,37.0,0.0,0.0,0.0
