cell_id,Tympanuchus cupido,Tympanuchus cupido pinnatus,Tympanuchus cupido cupido,Tympanuchus cupido attwateri
8426005ffffffff,1.0,0.0,0.0,0.0
8426015ffffffff,27.0,0.0,0.0,0.0
8426039ffffffff,6.0,0.0,0.0,0.0
8426061ffffffff,4.0,0.0,0.0,0.0
8426063ffffffff,1.0,0.0,0.0,0.0
8426099ffffffff,111.0,0.0,0.0,0.0
84260a1ffffffff,4.0,0.0,0.0,0.0
84260a3ffffffff,1.0,0.0,0.0,0.0
84260adffffffff,3.0,0.0,0.0,0.0
8426133ffffffff,3.0,0.0,0.0,0.0
842613bffffffff,7.0,0.0,0.0,0.0
842615dffffffff,6.0,0.0,0.0,0.0
8426181ffffffff,1.0,0.0,0.0,0.0
8426187ffffffff,8.0,0.0,0.0,0.0
842618bffffffff,4.0,0.0,0.0,0.0
842619dffffffff,2.0,0.0,0.0,0.0
84261b3ffffffff,3.0,0.0,0.0,0.0
84261b9ffffffff,3.0,0.0,0.0,0.0
84261cbffffffff,1.0,0.0,0.0,0.0
84261ddffffffff,2.0,0.0,0.0,0.0
8426269ffffffff,1.0,0.0,0.0,0.0
842626dffffffff,1.0,0.0,0.0,0.0
8426501ffffffff,22.0,0.0,0.0,0.0
8426505ffffffff,1.0,0.0,0.0,0.0
842651dffffffff,1.0,0.0,0.0,0.0
8426523ffffffff,1.0,0.0,0.0,0.0
842652bffffffff,88.0,0.0,0.0,0.0
8426535ffffffff,25.0,0.0,0.0,0.0
842653dffffffff,42.0,0.0,0.0,0.0
84268d9ffffffff,3.0,0.0,0.0,0.0
8426a87ffffffff,3.0,0.0,0.0,0.0
8426a8bffffffff,3.0,0.0,0.0,0.0
8426a91ffffffff,5.0,0.0,0.0,0.0
8426a95ffffffff,82.0,4.0,0.0,0.0
8426a97ffffffff,7.0,0.0,0.0,0.0
8426a9dffffffff,1.0,0.0,0.0,0.0
8426aa3ffffffff,3.0,0.0,0.0,0.0
8426ab3ffffffff,1.0,0.0,0.0,0.0
8426abdffffffff,11.0,0.0,0.0,0.0
8426ac3ffffffff,4.0,0.0,0.0,0.0
8426acbffffffff,2.0,0.0,0.0,0.0
8426ad5ffffffff,1.0,0.0,0.0,0.0
8426e09ffffffff,1.0,0.0,0.0,0.0
8426e1dffffffff,5.0,0.0,0.0,0.0
8426e21ffffffff,2.0,0.0,0.0,0.0
8426e2dffffffff,13.0,0.0,0.0,0.0
8426e43ffffffff,2.0,2.0,0.0,0.0
8426e45ffffffff,2.0,0.0,0.0,0.0
8426e49ffffffff,2.0,0.0,0.0,0.0
8426e5bffffffff,4.0,2.0,0.0,0.0
8426e5dffffffff,1.0,0.0,0.0,0.0
8426e67ffffffff,9.0,0.0,0.0,0.0
8426ec9ffffffff,13.0,0.0,0.0,0.0
8426eedffffffff,7.0,0.0,0.0,0.0
8426f09ffffffff,2.0,0.0,0.0,0.0
8426f0dffffffff,2.0,0.0,0.0,0.0
8426f45ffffffff,1.0,0.0,0.0,0.0
8426f51ffffffff,2.0,0.0,0.0,0.0
8426f57ffffffff,1.0,0.0,0.0,0.0
8426f59ffffffff,1.0,0.0,0.0,0.0
8426f5dffffffff,1.0,0.0,0.0,0.0
8426f65ffffffff,4.0,0.0,0.0,0.0
8426f69ffffffff,1.0,0.0,0.0,0.0
8426f6dffffffff,2.0,0.0,0.0,0.0
84271c9ffffffff,2.0,0.0,0.0,0.0
84274cdffffffff,2.0,0.0,0.0,0.0
8427513ffffffff,94.0,4.0,0.0,0.0
84275c5ffffffff,88.0,2.0,0.0,0.0
84276c5ffffffff,2.0,0.0,0.0,0.0
84446c1ffffffff,3.0,0.0,0.0,3.0
84446c3ffffffff,1.0,0.0,0.0,1.0
84446cdffffffff,5.0,0.0,0.0,0.0
844890bffffffff,3.0,0.0,0.0,1.0
8448911ffffffff,1.0,0.0,0.0,0.0
844891dffffffff,3.0,0.0,0.0,1.0
8448937ffffffff,9.0,0.0,0.0,7.0
