cell_id,Knipolegus aterrimus,Knipolegus aterrimus heterogyna,Knipolegus aterrimus aterrimus/anthracinus
838b20fffffffff,117.0,0.0,0.0
838b21fffffffff,58.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0
838b24fffffffff,34.0,0.0,0.0
838b25fffffffff,115.0,0.0,0.0
838b26fffffffff,4.0,0.0,0.0
838b2cfffffffff,202.0,0.0,0.0
838b2dfffffffff,4.0,0.0,0.0
838b36fffffffff,1.0,0.0,0.0
838b60fffffffff,3.0,0.0,0.0
838b61fffffffff,162.0,0.0,9.0
838b65fffffffff,2.0,0.0,0.0
838b66fffffffff,15.0,0.0,0.0
838b6cfffffffff,408.0,0.0,12.0
838b75fffffffff,31.0,0.0,0.0
838e60fffffffff,6.0,0.0,0.0
838e61fffffffff,5.0,0.0,0.0
838e64fffffffff,7.0,0.0,0.0
838e65fffffffff,49.0,0.0,0.0
838e6cfffffffff,26.0,0.0,0.0
838e6dfffffffff,343.0,0.0,8.0
838f51fffffffff,88.0,0.0,0.0
838f55fffffffff,72.0,0.0,0.0
838f58fffffffff,3.0,0.0,0.0
838f5cfffffffff,13.0,0.0,0.0
83a845fffffffff,1.0,0.0,0.0
83b208fffffffff,4.0,0.0,0.0
83b209fffffffff,41.0,0.0,0.0
83b20bfffffffff,7.0,0.0,0.0
83b20dfffffffff,8.0,0.0,0.0
83b20efffffffff,1.0,0.0,0.0
83b229fffffffff,8.0,0.0,0.0
83b22bfffffffff,5.0,0.0,0.0
83b22dfffffffff,7.0,0.0,0.0
83b240fffffffff,2.0,0.0,0.0
83b241fffffffff,16.0,0.0,0.0
83b242fffffffff,11.0,0.0,0.0
83b243fffffffff,26.0,0.0,0.0
83b244fffffffff,4.0,0.0,0.0
83b245fffffffff,3.0,0.0,0.0
83b246fffffffff,7.0,0.0,0.0
83b248fffffffff,1.0,0.0,0.0
83b24afffffffff,33.0,0.0,0.0
83b24bfffffffff,1.0,0.0,0.0
83b24cfffffffff,17.0,0.0,0.0
83b24efffffffff,8.0,0.0,0.0
83b250fffffffff,8.0,0.0,0.0
83b251fffffffff,43.0,0.0,0.0
83b252fffffffff,5.0,0.0,0.0
83b253fffffffff,1.0,0.0,0.0
83b255fffffffff,9.0,0.0,0.0
83b256fffffffff,6.0,0.0,0.0
83b258fffffffff,20.0,0.0,0.0
83b259fffffffff,14.0,0.0,0.0
83b25afffffffff,2.0,0.0,0.0
83b25bfffffffff,5.0,0.0,0.0
83b25cfffffffff,36.0,0.0,0.0
83b25dfffffffff,36.0,0.0,0.0
83b25efffffffff,30.0,0.0,0.0
83b262fffffffff,2.0,0.0,0.0
83b266fffffffff,10.0,0.0,0.0
83b26efffffffff,3.0,0.0,0.0
83b270fffffffff,39.0,0.0,0.0
83b271fffffffff,8.0,0.0,0.0
83b272fffffffff,15.0,0.0,0.0
83b273fffffffff,4.0,0.0,0.0
83b274fffffffff,14.0,0.0,0.0
83b275fffffffff,38.0,0.0,0.0
83b276fffffffff,5.0,0.0,0.0
83b2c8fffffffff,10.0,0.0,0.0
83b2cdfffffffff,12.0,0.0,0.0
83b2e1fffffffff,29.0,0.0,0.0
83b2e5fffffffff,3.0,0.0,0.0
83b2e8fffffffff,23.0,0.0,0.0
83b2e9fffffffff,18.0,0.0,0.0
83b2eafffffffff,7.0,0.0,0.0
83b2ebfffffffff,11.0,0.0,0.0
83b2ecfffffffff,19.0,0.0,0.0
83b2edfffffffff,16.0,0.0,0.0
83b2eefffffffff,183.0,0.0,0.0
83b320fffffffff,34.0,0.0,0.0
83b321fffffffff,36.0,0.0,0.0
83b324fffffffff,62.0,0.0,0.0
83b325fffffffff,11.0,0.0,0.0
83b326fffffffff,1.0,0.0,0.0
83b32dfffffffff,24.0,0.0,0.0
83b340fffffffff,11.0,0.0,0.0
83b342fffffffff,94.0,0.0,0.0
83b343fffffffff,17.0,0.0,0.0
83b344fffffffff,23.0,0.0,0.0
83b346fffffffff,52.0,0.0,0.0
83b34bfffffffff,2.0,0.0,0.0
83b351fffffffff,354.0,0.0,0.0
83b353fffffffff,3.0,0.0,0.0
83b354fffffffff,2.0,0.0,0.0
83b355fffffffff,114.0,0.0,0.0
83b358fffffffff,19.0,0.0,0.0
83b35afffffffff,144.0,0.0,0.0
83b35bfffffffff,8.0,0.0,0.0
83b35cfffffffff,210.0,0.0,0.0
83b35dfffffffff,4.0,0.0,0.0
83b35efffffffff,441.0,0.0,0.0
83b362fffffffff,5.0,0.0,0.0
83b363fffffffff,2.0,0.0,0.0
83b364fffffffff,1.0,0.0,0.0
83b366fffffffff,22.0,0.0,0.0
83b36bfffffffff,4.0,0.0,0.0
83b370fffffffff,1.0,0.0,0.0
83b371fffffffff,7.0,0.0,0.0
83b372fffffffff,3.0,0.0,0.0
83b373fffffffff,211.0,0.0,0.0
83b374fffffffff,2.0,0.0,0.0
83c2c9fffffffff,1.0,0.0,0.0
83c2e3fffffffff,6.0,0.0,0.0
83c305fffffffff,2.0,0.0,0.0
