cell_id,Anthus bogotensis,Anthus bogotensis meridae,Anthus bogotensis [bogotensis Group]
836608fffffffff,8.0,0.0,0.0
836609fffffffff,2.0,0.0,0.0
83660bfffffffff,20.0,0.0,0.0
83660cfffffffff,8.0,0.0,0.0
83660dfffffffff,6.0,0.0,0.0
836629fffffffff,44.0,0.0,0.0
83662bfffffffff,1.0,0.0,0.0
8366d1fffffffff,15.0,0.0,0.0
8366d3fffffffff,153.0,0.0,0.0
8366defffffffff,1018.0,0.0,33.0
8366e0fffffffff,136.0,0.0,1.0
8366e4fffffffff,2.0,0.0,0.0
8366e5fffffffff,17.0,0.0,0.0
8366e6fffffffff,9.0,0.0,0.0
83675afffffffff,2.0,0.0,0.0
838b29fffffffff,1.0,0.0,0.0
838b2cfffffffff,5.0,0.0,0.0
838b60fffffffff,3.0,0.0,0.0
838b61fffffffff,133.0,0.0,4.0
838b65fffffffff,2.0,0.0,0.0
838b6cfffffffff,102.0,0.0,0.0
838e60fffffffff,2.0,0.0,0.0
838e64fffffffff,14.0,0.0,0.0
838e65fffffffff,15.0,0.0,0.0
838e66fffffffff,15.0,0.0,0.0
838e6cfffffffff,7.0,0.0,0.0
838e6dfffffffff,14.0,0.0,0.0
838f29fffffffff,14.0,0.0,0.0
838f2bfffffffff,3.0,0.0,0.0
838f2dfffffffff,23.0,0.0,1.0
838f42fffffffff,14.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0
838f51fffffffff,78.0,0.0,0.0
838f54fffffffff,9.0,0.0,0.0
838f55fffffffff,36.0,0.0,0.0
838f58fffffffff,5.0,0.0,0.0
838f59fffffffff,48.0,0.0,0.0
838f5bfffffffff,3.0,0.0,0.0
838f5cfffffffff,3.0,0.0,0.0
838f5dfffffffff,4.0,0.0,0.0
838f5efffffffff,1.0,0.0,0.0
838f72fffffffff,7.0,0.0,0.0
838f76fffffffff,170.0,0.0,6.0
83b320fffffffff,3.0,0.0,0.0
83b321fffffffff,3.0,0.0,0.0
83b324fffffffff,2.0,0.0,0.0
83b325fffffffff,5.0,0.0,0.0
