cell_id,Patagona gigas,Patagona gigas peruviana,Patagona gigas gigas
8266d7fffffffff,1499.0,0.0,0.0
8266dffffffffff,504.0,0.0,0.0
828b27fffffffff,113.0,0.0,0.0
828b2ffffffffff,244.0,0.0,0.0
828b67fffffffff,2365.0,0.0,0.0
828b6ffffffffff,173.0,0.0,0.0
828e67fffffffff,905.0,0.0,0.0
828e6ffffffffff,164.0,0.0,0.0
828f2ffffffffff,80.0,0.0,0.0
828f57fffffffff,271.0,0.0,0.0
828f5ffffffffff,425.0,0.0,0.0
828f77fffffffff,56.0,0.0,0.0
82b207fffffffff,20.0,0.0,0.0
82b20ffffffffff,52.0,0.0,0.0
82b21ffffffffff,476.0,0.0,0.0
82b22ffffffffff,11.0,0.0,0.0
82b277fffffffff,5.0,0.0,0.0
82b2c7fffffffff,3584.0,0.0,0.0
82b2cffffffffff,27.0,0.0,0.0
82b2dffffffffff,126.0,0.0,0.0
82b2e7fffffffff,796.0,0.0,0.0
82b2effffffffff,17.0,0.0,0.0
82b307fffffffff,596.0,0.0,0.0
82b30ffffffffff,19.0,0.0,0.0
82b327fffffffff,256.0,0.0,0.0
82b32ffffffffff,32.0,0.0,0.0
82b337fffffffff,257.0,0.0,0.0
82b357fffffffff,281.0,0.0,0.0
82b35ffffffffff,128.0,0.0,0.0
82b377fffffffff,89.0,0.0,0.0
82ce9ffffffffff,10.0,0.0,0.0
