cell_id,Geophaps smithii,Geophaps smithii blaauwi,Geophaps smithii smithii
8494187ffffffff,8.0,0.0,0.0
84941a7ffffffff,1.0,0.0,0.0
84941bdffffffff,50.0,0.0,0.0
849442bffffffff,2.0,0.0,0.0
8494503ffffffff,13.0,0.0,0.0
8494511ffffffff,3.0,0.0,0.0
8494515ffffffff,5.0,0.0,0.0
8494517ffffffff,4.0,0.0,0.0
849451dffffffff,1.0,0.0,0.0
8494533ffffffff,2.0,0.0,0.0
8494539ffffffff,16.0,0.0,0.0
8494551ffffffff,7.0,0.0,0.0
8494559ffffffff,5.0,0.0,0.0
849458dffffffff,9.0,0.0,0.0
84945c3ffffffff,23.0,0.0,0.0
84945c5ffffffff,4.0,0.0,0.0
84945c7ffffffff,203.0,0.0,0.0
84945e1ffffffff,13.0,0.0,0.0
84945e3ffffffff,11.0,0.0,0.0
84945e5ffffffff,12.0,0.0,0.0
84945ebffffffff,30.0,0.0,0.0
8494a93ffffffff,8.0,0.0,0.0
8494ed3ffffffff,9.0,0.0,0.0
8494ed9ffffffff,7.0,0.0,0.0
8494edbffffffff,22.0,0.0,0.0
