cell_id,Arizelocichla masukuensis,Arizelocichla masukuensis kakamegae/kungwensis,Arizelocichla masukuensis masukuensis/roehli
846ac15ffffffff,4.0,4.0,0.0
846ac5bffffffff,2.0,2.0,0.0
846ace5ffffffff,1.0,1.0,0.0
846ad8dffffffff,2.0,0.0,0.0
846adc1ffffffff,314.0,110.0,0.0
846ade7ffffffff,16.0,8.0,0.0
846adebffffffff,1.0,0.0,0.0
846adedffffffff,1.0,1.0,0.0
846aeabffffffff,1.0,1.0,0.0
847a4cbffffffff,140.0,100.0,0.0
847a4ddffffffff,152.0,89.0,0.0
847a6abffffffff,1.0,0.0,0.0
847a6b5ffffffff,2.0,0.0,0.0
847a6b7ffffffff,2.0,1.0,0.0
847a6bdffffffff,4.0,0.0,0.0
847b487ffffffff,96.0,0.0,30.0
847b491ffffffff,2.0,0.0,0.0
847b4b1ffffffff,2.0,0.0,0.0
847b4b9ffffffff,84.0,0.0,27.0
847b4bdffffffff,2.0,0.0,1.0
847b4dbffffffff,22.0,0.0,3.0
8496895ffffffff,1.0,0.0,0.0
84968d1ffffffff,2.0,2.0,0.0
8496a03ffffffff,3.0,0.0,3.0
8496a0bffffffff,1.0,0.0,0.0
8496b09ffffffff,5.0,0.0,0.0
8496b0dffffffff,2.0,0.0,0.0
8496b21ffffffff,21.0,0.0,6.0
8496b2bffffffff,6.0,0.0,2.0
8496b47ffffffff,1.0,0.0,0.0
8496b55ffffffff,3.0,0.0,0.0
8496b63ffffffff,2.0,0.0,2.0
8496b67ffffffff,7.0,0.0,0.0
8496d21ffffffff,3.0,3.0,0.0
8497a85ffffffff,1.0,0.0,0.0
