cell_id,Cyanomitra verticalis,Cyanomitra verticalis verticalis/viridisplendens,Cyanomitra verticalis cyanocephala/bohndorffi
82541ffffffffff,1.0,0.0,0.0
8254affffffffff,10.0,2.0,0.0
8254e7fffffffff,34.0,4.0,0.0
8254effffffffff,4.0,0.0,0.0
8254f7fffffffff,90.0,6.0,0.0
825887fffffffff,4.0,0.0,0.0
825897fffffffff,18.0,2.0,0.0
82589ffffffffff,4.0,0.0,0.0
8258a7fffffffff,2.0,0.0,0.0
8258b7fffffffff,5.0,0.0,0.0
8258c7fffffffff,3.0,0.0,0.0
8258cffffffffff,7.0,0.0,0.0
8258d7fffffffff,8.0,2.0,0.0
8258dffffffffff,16.0,0.0,0.0
8258e7fffffffff,75.0,1.0,0.0
8258f7fffffffff,2.0,0.0,0.0
826ac7fffffffff,480.0,94.0,0.0
826acffffffffff,400.0,18.0,0.0
826adffffffffff,951.0,86.0,8.0
826ae7fffffffff,4.0,0.0,0.0
826aeffffffffff,51.0,9.0,0.0
82750ffffffffff,258.0,69.0,0.0
827517fffffffff,1.0,0.0,0.0
827527fffffffff,47.0,19.0,0.0
82752ffffffffff,17.0,0.0,0.0
827537fffffffff,1.0,0.0,0.0
827577fffffffff,21.0,1.0,0.0
827587fffffffff,2.0,0.0,0.0
8275a7fffffffff,7.0,0.0,0.0
827a47fffffffff,119.0,3.0,0.0
827a4ffffffffff,523.0,2.0,0.0
827a6ffffffffff,177.0,0.0,0.0
82821ffffffffff,11.0,0.0,0.0
82828ffffffffff,33.0,5.0,5.0
8282a7fffffffff,3.0,0.0,0.0
8282affffffffff,12.0,0.0,2.0
8282b7fffffffff,1.0,0.0,0.0
8282d7fffffffff,45.0,15.0,0.0
8282f7fffffffff,19.0,0.0,10.0
828317fffffffff,22.0,0.0,2.0
82831ffffffffff,3.0,0.0,0.0
828387fffffffff,1.0,0.0,0.0
82838ffffffffff,3.0,0.0,0.0
8283a7fffffffff,7.0,0.0,0.0
8283affffffffff,4.0,0.0,0.0
829607fffffffff,2.0,0.0,0.0
829617fffffffff,15.0,3.0,0.0
82961ffffffffff,1.0,0.0,0.0
829697fffffffff,64.0,0.0,0.0
8296a7fffffffff,8.0,3.0,0.0
8296affffffffff,4.0,2.0,0.0
8296b7fffffffff,6.0,1.0,0.0
8296d7fffffffff,1.0,0.0,0.0
