cell_id,Turdus rubrocanus,Turdus rubrocanus rubrocanus,Turdus rubrocanus gouldii
82246ffffffffff,4.0,0.0,0.0
823197fffffffff,6.0,0.0,0.0
8231affffffffff,2.0,0.0,0.0
823c0ffffffffff,10.0,0.0,0.0
823c1ffffffffff,35.0,0.0,0.0
823c57fffffffff,18.0,0.0,0.0
823c5ffffffffff,18.0,0.0,0.0
823cc7fffffffff,2.0,0.0,0.0
823d07fffffffff,6.0,0.0,0.0
823d37fffffffff,3.0,0.0,0.0
823daffffffffff,3.0,0.0,0.0
82408ffffffffff,3.0,0.0,0.0
82409ffffffffff,1.0,0.0,0.0
826487fffffffff,50.0,0.0,0.0
826497fffffffff,80.0,0.0,0.0
