cell_id,Buteo rufinus,Buteo rufinus rufinus,Buteo rufinus cirtensis
831093fffffffff,1.0,0.0,0.0
831096fffffffff,2.0,0.0,0.0
83109bfffffffff,2.0,0.0,0.0
831592fffffffff,3.0,0.0,0.0
8315b3fffffffff,2.0,0.0,0.0
831e0afffffffff,1.0,0.0,0.0
831e0efffffffff,4.0,0.0,0.0
831e19fffffffff,9.0,0.0,0.0
831e1bfffffffff,5.0,0.0,0.0
831e42fffffffff,5.0,0.0,0.0
831e49fffffffff,3.0,0.0,0.0
831e4afffffffff,6.0,0.0,0.0
831e4bfffffffff,7.0,0.0,0.0
831e4dfffffffff,9.0,0.0,0.0
831e51fffffffff,6.0,0.0,0.0
831e53fffffffff,5.0,2.0,0.0
831e55fffffffff,4.0,0.0,0.0
831e5afffffffff,36.0,7.0,0.0
831e5cfffffffff,12.0,0.0,0.0
831e5dfffffffff,4.0,0.0,0.0
831e5efffffffff,19.0,2.0,0.0
831e69fffffffff,4.0,0.0,0.0
831e6bfffffffff,3.0,0.0,0.0
831ec0fffffffff,69.0,11.0,0.0
831ec1fffffffff,61.0,7.0,0.0
831ec2fffffffff,62.0,3.0,0.0
831ec3fffffffff,21.0,1.0,0.0
831ec4fffffffff,134.0,18.0,0.0
831ec5fffffffff,8.0,2.0,0.0
831ec6fffffffff,4.0,0.0,0.0
831ec8fffffffff,20.0,0.0,0.0
831ec9fffffffff,140.0,7.0,0.0
831ecafffffffff,130.0,3.0,0.0
831ecbfffffffff,54.0,0.0,0.0
831eccfffffffff,84.0,7.0,0.0
831ecdfffffffff,10.0,0.0,0.0
831ecefffffffff,67.0,13.0,0.0
831ed0fffffffff,8.0,0.0,0.0
831ed1fffffffff,11.0,0.0,0.0
831ed2fffffffff,2.0,0.0,0.0
831ed3fffffffff,5.0,0.0,0.0
831ed5fffffffff,12.0,0.0,0.0
831ed6fffffffff,2.0,0.0,0.0
831ed9fffffffff,189.0,18.0,0.0
831edafffffffff,83.0,1.0,0.0
831edbfffffffff,2.0,0.0,0.0
831edcfffffffff,71.0,0.0,0.0
831eddfffffffff,3.0,0.0,0.0
831edefffffffff,107.0,5.0,0.0
831ee3fffffffff,4.0,0.0,0.0
831ee6fffffffff,5.0,0.0,0.0
831ee8fffffffff,11.0,4.0,0.0
831ee9fffffffff,102.0,29.0,0.0
831eeafffffffff,10.0,0.0,0.0
831eebfffffffff,221.0,11.0,0.0
831eedfffffffff,56.0,9.0,0.0
831eeefffffffff,13.0,1.0,0.0
831ef0fffffffff,5.0,0.0,0.0
831ef2fffffffff,14.0,9.0,0.0
831ef6fffffffff,5.0,2.0,0.0
83200afffffffff,36.0,14.0,0.0
83200efffffffff,14.0,5.0,0.0
832010fffffffff,34.0,7.0,0.0
832012fffffffff,8.0,0.0,0.0
832013fffffffff,17.0,5.0,0.0
832014fffffffff,2.0,2.0,0.0
832016fffffffff,27.0,6.0,0.0
832018fffffffff,35.0,0.0,0.0
832019fffffffff,136.0,28.0,0.0
83201afffffffff,20.0,0.0,0.0
83201bfffffffff,12.0,5.0,0.0
83201dfffffffff,17.0,5.0,0.0
832033fffffffff,8.0,0.0,0.0
832036fffffffff,3.0,0.0,0.0
83204afffffffff,5.0,0.0,0.0
832059fffffffff,18.0,0.0,0.0
83205afffffffff,1.0,0.0,0.0
83205bfffffffff,3.0,0.0,0.0
83205cfffffffff,4.0,2.0,0.0
83205dfffffffff,1.0,0.0,0.0
83205efffffffff,11.0,2.0,0.0
832084fffffffff,11.0,0.0,0.0
832086fffffffff,4.0,0.0,0.0
83208dfffffffff,3.0,0.0,0.0
83209afffffffff,2.0,0.0,0.0
83209bfffffffff,2.0,0.0,0.0
83209efffffffff,3.0,0.0,0.0
8320a0fffffffff,1.0,0.0,0.0
8320a2fffffffff,20.0,0.0,0.0
8320a5fffffffff,5.0,3.0,0.0
8320a6fffffffff,12.0,2.0,0.0
