cell_id,Prinia bairdii,Prinia bairdii bairdii/heinrichi,Prinia bairdii melanops/obscura
8258cffffffffff,1.0,0.0,0.0
8258d7fffffffff,49.0,47.0,0.0
8258dffffffffff,15.0,7.0,0.0
826ac7fffffffff,67.0,11.0,8.0
826ad7fffffffff,1.0,0.0,0.0
826adffffffffff,692.0,21.0,106.0
826aeffffffffff,1.0,0.0,0.0
827a4ffffffffff,211.0,0.0,24.0
827a6ffffffffff,7.0,0.0,0.0
82821ffffffffff,5.0,0.0,0.0
828287fffffffff,13.0,0.0,0.0
82828ffffffffff,85.0,42.0,0.0
828297fffffffff,6.0,0.0,0.0
8282a7fffffffff,7.0,0.0,0.0
8282affffffffff,13.0,4.0,0.0
8282d7fffffffff,59.0,30.0,0.0
8283affffffffff,20.0,2.0,0.0
