cell_id,Ortalis guttata,Ortalis guttata guttata/subaffinis,Ortalis guttata remota
8466093ffffffff,4.0,0.0,0.0
8466097ffffffff,3.0,0.0,0.0
846609bffffffff,4.0,0.0,0.0
84660b3ffffffff,5.0,0.0,0.0
84660b7ffffffff,3.0,0.0,0.0
84660bbffffffff,1.0,0.0,0.0
84660dbffffffff,2.0,0.0,0.0
8466411ffffffff,4.0,0.0,0.0
8466415ffffffff,7.0,2.0,0.0
8466417ffffffff,11.0,1.0,0.0
846641dffffffff,7.0,0.0,0.0
8466449ffffffff,3.0,0.0,0.0
84664e9ffffffff,3.0,0.0,0.0
8466505ffffffff,4.0,0.0,0.0
8466509ffffffff,6.0,0.0,0.0
846650dffffffff,2.0,0.0,0.0
8466529ffffffff,40.0,0.0,0.0
846652bffffffff,2.0,0.0,0.0
846652dffffffff,98.0,0.0,0.0
8466537ffffffff,4.0,0.0,0.0
8466545ffffffff,16.0,0.0,0.0
8466547ffffffff,2.0,0.0,0.0
8466549ffffffff,18.0,0.0,0.0
8466561ffffffff,9.0,0.0,0.0
8466565ffffffff,54.0,0.0,0.0
8466567ffffffff,4.0,0.0,0.0
8466569ffffffff,11.0,0.0,0.0
846656dffffffff,38.0,0.0,0.0
84665a7ffffffff,2.0,0.0,0.0
84665abffffffff,303.0,7.0,0.0
84665bdffffffff,215.0,0.0,0.0
84665e9ffffffff,152.0,0.0,0.0
8466623ffffffff,1.0,0.0,0.0
8466631ffffffff,2.0,0.0,0.0
846663dffffffff,1.0,0.0,0.0
8466715ffffffff,3.0,0.0,0.0
846671bffffffff,4.0,0.0,0.0
8466723ffffffff,2.0,0.0,0.0
8466727ffffffff,100.0,0.0,0.0
8466733ffffffff,2.0,0.0,0.0
8466763ffffffff,2.0,0.0,0.0
8466c01ffffffff,147.0,0.0,0.0
8466c03ffffffff,8.0,0.0,0.0
8466c05ffffffff,69.0,0.0,0.0
8466c07ffffffff,2.0,0.0,0.0
8466c09ffffffff,24.0,0.0,0.0
8466c0dffffffff,169.0,0.0,0.0
8466c15ffffffff,7.0,0.0,0.0
8466c17ffffffff,4.0,0.0,0.0
8466c19ffffffff,4.0,0.0,0.0
8466c1dffffffff,6.0,0.0,0.0
8466c21ffffffff,1005.0,0.0,0.0
8466c23ffffffff,262.0,0.0,0.0
8466c27ffffffff,132.0,0.0,0.0
8466c29ffffffff,360.0,0.0,0.0
8466c2bffffffff,37.0,0.0,0.0
8466c2dffffffff,204.0,0.0,0.0
8466c35ffffffff,2.0,0.0,0.0
8466c37ffffffff,29.0,0.0,0.0
8466c39ffffffff,2.0,0.0,0.0
8466c4bffffffff,2.0,0.0,0.0
8466c57ffffffff,39.0,0.0,0.0
8466c5bffffffff,15.0,0.0,0.0
8466c5dffffffff,52.0,0.0,0.0
8466c95ffffffff,5.0,0.0,0.0
8466cb3ffffffff,3.0,0.0,0.0
8466cb7ffffffff,1.0,0.0,0.0
8466cc5ffffffff,6.0,0.0,0.0
8466cd1ffffffff,2.0,0.0,0.0
8466cdbffffffff,3.0,0.0,0.0
8466ce1ffffffff,57.0,0.0,0.0
8466ce9ffffffff,70.0,0.0,0.0
8466cedffffffff,15.0,0.0,0.0
8466d13ffffffff,32.0,3.0,0.0
8466d1bffffffff,94.0,0.0,0.0
8466d81ffffffff,106.0,6.0,0.0
8466d89ffffffff,21.0,0.0,0.0
8466d8bffffffff,1.0,1.0,0.0
8466d8dffffffff,69.0,2.0,0.0
8466da1ffffffff,27.0,0.0,0.0
8466da3ffffffff,3.0,0.0,0.0
8466da7ffffffff,28.0,2.0,0.0
8466da9ffffffff,32.0,0.0,0.0
8466dadffffffff,279.0,0.0,0.0
8466db1ffffffff,52.0,5.0,0.0
8466db5ffffffff,32.0,0.0,0.0
8466dc1ffffffff,8.0,0.0,0.0
8466dc3ffffffff,1564.0,138.0,0.0
8466dc7ffffffff,302.0,4.0,0.0
8466dc9ffffffff,137.0,0.0,0.0
8466dcbffffffff,35.0,2.0,0.0
8466dcdffffffff,21.0,0.0,0.0
8466dd1ffffffff,8.0,0.0,0.0
8466dd3ffffffff,9.0,0.0,0.0
8466dd5ffffffff,23.0,3.0,0.0
8466dd7ffffffff,10.0,0.0,0.0
8466dd9ffffffff,2.0,0.0,0.0
8466ddbffffffff,14.0,0.0,0.0
8466dddffffffff,36.0,6.0,0.0
8466de1ffffffff,891.0,72.0,0.0
8466de3ffffffff,371.0,59.0,0.0
8466de7ffffffff,95.0,4.0,0.0
8466de9ffffffff,9.0,0.0,0.0
8466debffffffff,158.0,19.0,0.0
8466e03ffffffff,188.0,1.0,0.0
8466e0bffffffff,641.0,6.0,0.0
8466e11ffffffff,101.0,0.0,0.0
8466e13ffffffff,9.0,0.0,0.0
8466e15ffffffff,298.0,0.0,0.0
8466e17ffffffff,35.0,5.0,0.0
8466e19ffffffff,28.0,0.0,0.0
8466e1dffffffff,239.0,0.0,0.0
8466e31ffffffff,2.0,0.0,0.0
8466e37ffffffff,5.0,0.0,0.0
8466e39ffffffff,124.0,0.0,0.0
8466e3bffffffff,122.0,6.0,0.0
8466e51ffffffff,64.0,0.0,0.0
8466e53ffffffff,88.0,0.0,0.0
8466e55ffffffff,3.0,0.0,0.0
