cell_id,Phylloscopus poliocephalus,Phylloscopus poliocephalus suaramerdu,Phylloscopus poliocephalus emilsalimi,Phylloscopus poliocephalus henrietta,Phylloscopus poliocephalus waterstradti,Phylloscopus poliocephalus everetti,Phylloscopus poliocephalus ceramensis,Phylloscopus poliocephalus avicola,Phylloscopus poliocephalus [poliocephalus Group],Phylloscopus poliocephalus [matthiae Group]
8368d8fffffffff,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837289fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
83728bfffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
837290fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
8372a0fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8372a2fffffffff,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0
8372d2fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
8372d3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8372d9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8372dafffffffff,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0
8372dbfffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8372defffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837390fffffffff,62.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
837395fffffffff,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83739afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
83739bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837680fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83769dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837795fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837799fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839544fffffffff,80.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
839561fffffffff,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
839566fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83956afffffffff,153.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0
83956bfffffffff,41.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0
839c85fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
839c8afffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839c8bfffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839c8efffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
839c96fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839c9cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839c9dfffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
839cb5fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839cd2fffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
839ed3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839ed8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839edafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839edcfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
