cell_id,Accipiter striatus,Accipiter striatus [striatus Group],Accipiter striatus [velox Group],Accipiter striatus madrensis,Accipiter striatus chionogaster,Accipiter striatus ventralis,Accipiter striatus erythronemius
832662fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832663fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832664fffffffff,73.0,0.0,7.0,0.0,0.0,0.0,0.0
832665fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832666fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
832668fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832669fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83266bfffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
83266cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83266efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832671fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832673fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832675fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832680fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832681fffffffff,112.0,0.0,0.0,0.0,0.0,0.0,0.0
832685fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
832688fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832689fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83268afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83268bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83268cfffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
83268dfffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
83268efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832690fffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0
832692fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
832696fffffffff,101.0,0.0,23.0,0.0,0.0,0.0,0.0
832698fffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0
83269afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83269cfffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
83269dfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83269efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8326a1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8326a5fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8326a8fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8326a9fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8326aafffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8326abfffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8326aefffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8326b2fffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8326b6fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
8326c3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8326c4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8326c5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8326c8fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8326c9fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8326cafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8326cbfffffffff,12.0,0.0,2.0,0.0,0.0,0.0,0.0
8326cdfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8326d1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8326d4fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8326d5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8326d6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8326ddfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8326e2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8326e5fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8326e9fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8326ecfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8326edfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8326f2fffffffff,13.0,0.0,2.0,0.0,0.0,0.0,0.0
8326f4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8326f6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832700fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832702fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
832709fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832711fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
832713fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832718fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
832719fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83271cfffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
832740fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
832741fffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
832742fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832743fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832745fffffffff,12.0,0.0,4.0,0.0,0.0,0.0,0.0
832746fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
832748fffffffff,172.0,0.0,0.0,0.0,0.0,0.0,0.0
832749fffffffff,119.0,0.0,0.0,0.0,0.0,0.0,0.0
83274afffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
83274bfffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
83274cfffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
83274dfffffffff,130.0,0.0,0.0,0.0,0.0,0.0,0.0
83274efffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
832752fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832754fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
832755fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832756fffffffff,223.0,0.0,55.0,0.0,0.0,0.0,0.0
832758fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
832759fffffffff,203.0,0.0,7.0,0.0,0.0,0.0,0.0
83275afffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
83275bfffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
83275cfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
83275dfffffffff,106.0,0.0,2.0,0.0,0.0,0.0,0.0
83275efffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832763fffffffff,36.0,0.0,5.0,0.0,0.0,0.0,0.0
832768fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
