cell_id,Tychaedon leucosticta,Tychaedon leucosticta [leucosticta Group],Tychaedon leucosticta reichenowi
8254cffffffffff,3.0,0.0,0.0
825897fffffffff,3.0,0.0,0.0
826a17fffffffff,2.0,0.0,0.0
827507fffffffff,1.0,0.0,0.0
82750ffffffffff,27.0,0.0,0.0
82751ffffffffff,1.0,0.0,0.0
82752ffffffffff,48.0,0.0,0.0
8275a7fffffffff,2.0,0.0,0.0
8275affffffffff,7.0,0.0,0.0
8275b7fffffffff,9.0,0.0,0.0
828317fffffffff,39.0,0.0,8.0
82831ffffffffff,10.0,0.0,0.0
8283affffffffff,9.0,0.0,0.0
829667fffffffff,1.0,0.0,0.0
