cell_id,Myiarchus swainsoni,Myiarchus swainsoni phaeonotus,Myiarchus swainsoni [swainsoni Group]
826657fffffffff,4.0,0.0,4.0
82665ffffffffff,2.0,2.0,0.0
8266c7fffffffff,4.0,0.0,0.0
8266cffffffffff,3.0,1.0,0.0
8266dffffffffff,39.0,0.0,0.0
8266e7fffffffff,3.0,0.0,0.0
828af7fffffffff,2.0,0.0,0.0
82a807fffffffff,2.0,0.0,0.0
82a80ffffffffff,2.0,0.0,0.0
82a817fffffffff,12.0,0.0,0.0
82a81ffffffffff,44.0,0.0,0.0
82a8e7fffffffff,4.0,0.0,0.0
82a90ffffffffff,6.0,0.0,0.0
82a91ffffffffff,2.0,0.0,0.0
82a947fffffffff,24.0,0.0,0.0
82a94ffffffffff,7.0,0.0,0.0
82a957fffffffff,79.0,0.0,0.0
82a95ffffffffff,2.0,0.0,0.0
82a967fffffffff,16.0,0.0,0.0
82a96ffffffffff,11.0,0.0,0.0
82a977fffffffff,1.0,0.0,0.0
82b24ffffffffff,163.0,0.0,0.0
82b25ffffffffff,1.0,0.0,1.0
82b26ffffffffff,71.0,0.0,0.0
82b2effffffffff,9.0,0.0,0.0
82b347fffffffff,12.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0
82c2c7fffffffff,5.0,0.0,0.0
82c2cffffffffff,51.0,0.0,0.0
82c2e7fffffffff,24.0,0.0,0.0
82c2effffffffff,5.0,0.0,0.0
82c2f7fffffffff,1.0,0.0,0.0
82c32ffffffffff,2.0,0.0,0.0
82c357fffffffff,2.0,0.0,0.0
82c377fffffffff,6.0,0.0,0.0
82ce97fffffffff,12.0,0.0,0.0
82ce9ffffffffff,2.0,0.0,0.0
