cell_id,Nesotriccus murinus,Nesotriccus murinus incomtus/eremonomus,Nesotriccus murinus murinus/wagae
825f2ffffffffff,4.0,0.0,0.0
826617fffffffff,2.0,2.0,0.0
826627fffffffff,1.0,1.0,0.0
8266a7fffffffff,4.0,4.0,0.0
8266b7fffffffff,57.0,57.0,0.0
8266c7fffffffff,32.0,20.0,0.0
8266d7fffffffff,39.0,39.0,0.0
8266dffffffffff,30.0,0.0,0.0
8266e7fffffffff,12.0,12.0,0.0
8266effffffffff,4.0,4.0,0.0
826747fffffffff,1.0,1.0,0.0
82674ffffffffff,1.0,1.0,0.0
82675ffffffffff,9.0,9.0,0.0
828137fffffffff,1.0,0.0,1.0
828adffffffffff,1.0,0.0,0.0
828b27fffffffff,70.0,0.0,70.0
828b2ffffffffff,4.0,0.0,4.0
828b57fffffffff,1.0,0.0,1.0
828b67fffffffff,1.0,0.0,1.0
828b6ffffffffff,1.0,0.0,1.0
828b77fffffffff,2.0,0.0,2.0
828e67fffffffff,1.0,0.0,1.0
828f4ffffffffff,6.0,0.0,6.0
82a82ffffffffff,1.0,0.0,1.0
82a947fffffffff,55.0,0.0,55.0
82a94ffffffffff,7.0,0.0,7.0
82a957fffffffff,5.0,0.0,5.0
82a96ffffffffff,11.0,0.0,11.0
82a977fffffffff,1.0,0.0,1.0
82b26ffffffffff,2.0,0.0,2.0
82b327fffffffff,6.0,0.0,6.0
82b347fffffffff,5.0,0.0,5.0
82b35ffffffffff,8.0,0.0,8.0
82b367fffffffff,3.0,0.0,3.0
