cell_id,Oenanthe pleschanka,Oenanthe pleschanka (vittata form)
830b93fffffffff,2.0,0.0
831e4bfffffffff,9.0,0.0
831e59fffffffff,8.0,0.0
831e5afffffffff,1.0,0.0
831e5dfffffffff,10.0,0.0
831e5efffffffff,12.0,0.0
831e69fffffffff,2.0,0.0
831ee9fffffffff,103.0,0.0
831eebfffffffff,3.0,0.0
831eedfffffffff,46.0,0.0
83200afffffffff,13.0,0.0
83200efffffffff,1.0,0.0
832010fffffffff,11.0,0.0
832013fffffffff,7.0,0.0
832014fffffffff,4.0,0.0
832016fffffffff,5.0,0.0
832018fffffffff,9.0,0.0
832019fffffffff,69.0,0.0
83201afffffffff,13.0,0.0
83201bfffffffff,9.0,0.0
832048fffffffff,2.0,0.0
832049fffffffff,2.0,0.0
83204afffffffff,25.0,0.0
83204bfffffffff,10.0,0.0
83204cfffffffff,4.0,0.0
83204dfffffffff,9.0,0.0
83204efffffffff,1.0,0.0
832050fffffffff,1.0,0.0
832059fffffffff,19.0,0.0
83205bfffffffff,3.0,0.0
83206bfffffffff,2.0,0.0
832080fffffffff,2.0,0.0
832083fffffffff,1.0,0.0
832084fffffffff,8.0,0.0
832085fffffffff,2.0,0.0
832099fffffffff,6.0,0.0
8320a0fffffffff,2.0,0.0
8320a2fffffffff,7.0,0.0
8320a6fffffffff,26.0,0.0
8320a8fffffffff,1.0,0.0
8320a9fffffffff,8.0,0.0
8320adfffffffff,5.0,0.0
8320aefffffffff,1.0,0.0
8320b1fffffffff,2.0,0.0
8320b3fffffffff,2.0,0.0
8320c0fffffffff,3.0,0.0
8320c1fffffffff,2.0,0.0
8320c9fffffffff,3.0,0.0
8320e0fffffffff,120.0,0.0
8320e1fffffffff,2.0,0.0
8320e2fffffffff,8.0,0.0
8320e3fffffffff,55.0,0.0
8320e4fffffffff,13.0,0.0
8320e6fffffffff,3.0,0.0
8320eafffffffff,2.0,0.0
8320f0fffffffff,2.0,0.0
8320f4fffffffff,5.0,0.0
8320f5fffffffff,14.0,0.0
83218afffffffff,2.0,0.0
83218bfffffffff,7.0,0.0
832198fffffffff,9.0,0.0
832199fffffffff,3.0,0.0
8321b5fffffffff,2.0,0.0
832400fffffffff,19.0,0.0
832402fffffffff,1.0,0.0
832403fffffffff,5.0,0.0
832405fffffffff,5.0,0.0
832406fffffffff,5.0,0.0
83240afffffffff,8.0,0.0
83240cfffffffff,3.0,0.0
83240efffffffff,2.0,0.0
83241dfffffffff,10.0,0.0
832420fffffffff,1.0,0.0
832421fffffffff,2.0,0.0
832424fffffffff,2.0,0.0
832425fffffffff,6.0,0.0
832428fffffffff,8.0,0.0
832429fffffffff,9.0,0.0
83242cfffffffff,2.0,0.0
83242dfffffffff,1.0,0.0
83242efffffffff,4.0,0.0
832435fffffffff,1.0,0.0
83244bfffffffff,3.0,0.0
832450fffffffff,8.0,0.0
832451fffffffff,11.0,0.0
832452fffffffff,12.0,0.0
832456fffffffff,60.0,0.0
832460fffffffff,14.0,0.0
832463fffffffff,1.0,0.0
832464fffffffff,1.0,0.0
832466fffffffff,6.0,0.0
832473fffffffff,1.0,0.0
832475fffffffff,9.0,0.0
832476fffffffff,14.0,0.0
83248bfffffffff,8.0,0.0
832498fffffffff,1.0,0.0
8324aafffffffff,1.0,0.0
8324c0fffffffff,6.0,0.0
8324d2fffffffff,7.0,0.0
8324d5fffffffff,2.0,0.0
8324d6fffffffff,7.0,0.0
8324ebfffffffff,2.0,0.0
832500fffffffff,2.0,0.0
832502fffffffff,8.0,0.0
832503fffffffff,2.0,0.0
832510fffffffff,7.0,0.0
832511fffffffff,5.0,0.0
832512fffffffff,16.0,0.0
832513fffffffff,46.0,0.0
832514fffffffff,3.0,0.0
832516fffffffff,8.0,0.0
83251bfffffffff,5.0,0.0
83251efffffffff,1.0,0.0
832540fffffffff,5.0,0.0
832541fffffffff,1.0,0.0
832542fffffffff,4.0,0.0
832546fffffffff,1.0,0.0
832552fffffffff,1.0,0.0
83255afffffffff,39.0,0.0
83255bfffffffff,7.0,0.0
832589fffffffff,1.0,0.0
8325a0fffffffff,3.0,0.0
8325a1fffffffff,5.0,0.0
8325a4fffffffff,18.0,0.0
8325a8fffffffff,2.0,0.0
8325abfffffffff,1.0,0.0
8325acfffffffff,66.0,0.0
8325aefffffffff,9.0,0.0
8325b0fffffffff,26.0,0.0
8325b4fffffffff,5.0,0.0
8325b6fffffffff,2.0,0.0
832c00fffffffff,9.0,0.0
832c01fffffffff,13.0,0.0
832c03fffffffff,2.0,0.0
832c0bfffffffff,22.0,0.0
832c0cfffffffff,31.0,0.0
832c13fffffffff,3.0,0.0
832c19fffffffff,2.0,0.0
832c21fffffffff,5.0,0.0
832c28fffffffff,3.0,0.0
832c2afffffffff,73.0,0.0
832c2bfffffffff,2.0,0.0
832c2efffffffff,1.0,0.0
832c42fffffffff,1.0,0.0
