cell_id,Aegithalos caudatus,Aegithalos caudatus caudatus,Aegithalos caudatus [europaeus Group],Aegithalos caudatus [alpinus Group]
820807fffffffff,1.0,0.0,0.0,0.0
820817fffffffff,5.0,0.0,0.0,0.0
820837fffffffff,6.0,0.0,0.0,0.0
820887fffffffff,193.0,0.0,0.0,0.0
82088ffffffffff,13.0,0.0,0.0,0.0
820897fffffffff,24.0,0.0,0.0,0.0
82089ffffffffff,155.0,8.0,0.0,0.0
8208a7fffffffff,23.0,1.0,0.0,0.0
8208b7fffffffff,94.0,0.0,0.0,0.0
8208cffffffffff,2.0,0.0,0.0,0.0
8208d7fffffffff,14.0,2.0,0.0,0.0
8208dffffffffff,2.0,0.0,0.0,0.0
8208f7fffffffff,2.0,0.0,0.0,0.0
820987fffffffff,2.0,0.0,0.0,0.0
82098ffffffffff,5.0,0.0,0.0,0.0
820997fffffffff,12.0,4.0,0.0,0.0
82099ffffffffff,29.0,18.0,0.0,0.0
820bb7fffffffff,15.0,1.0,0.0,0.0
821017fffffffff,9.0,0.0,0.0,0.0
821027fffffffff,3.0,0.0,0.0,0.0
821087fffffffff,1.0,0.0,0.0,0.0
82108ffffffffff,1.0,0.0,0.0,0.0
8210c7fffffffff,61.0,2.0,0.0,0.0
8210d7fffffffff,3.0,0.0,0.0,0.0
8210dffffffffff,17.0,1.0,0.0,0.0
8210effffffffff,8.0,0.0,2.0,0.0
8210f7fffffffff,2.0,0.0,0.0,0.0
821107fffffffff,86.0,3.0,0.0,0.0
821117fffffffff,18.0,0.0,0.0,0.0
821127fffffffff,22.0,2.0,0.0,0.0
82112ffffffffff,1.0,0.0,0.0,0.0
821137fffffffff,32.0,0.0,0.0,0.0
821157fffffffff,2.0,0.0,0.0,0.0
821187fffffffff,99.0,0.0,0.0,0.0
82118ffffffffff,130.0,5.0,0.0,0.0
821197fffffffff,3.0,0.0,0.0,0.0
82119ffffffffff,3.0,0.0,0.0,0.0
8211a7fffffffff,4.0,0.0,0.0,0.0
8211affffffffff,573.0,55.0,0.0,0.0
8211b7fffffffff,4.0,0.0,0.0,0.0
82148ffffffffff,21.0,5.0,0.0,0.0
821497fffffffff,1.0,0.0,0.0,0.0
82149ffffffffff,29.0,15.0,0.0,0.0
8214affffffffff,60.0,51.0,0.0,0.0
82158ffffffffff,6.0,2.0,0.0,0.0
821597fffffffff,4.0,0.0,0.0,0.0
82159ffffffffff,57.0,18.0,0.0,0.0
8215b7fffffffff,2.0,0.0,0.0,0.0
821807fffffffff,44.0,0.0,1.0,0.0
82180ffffffffff,4.0,0.0,0.0,0.0
821827fffffffff,52.0,0.0,20.0,0.0
82182ffffffffff,1083.0,0.0,41.0,0.0
821847fffffffff,187.0,0.0,12.0,0.0
82184ffffffffff,4458.0,0.0,20.0,0.0
82185ffffffffff,337.0,0.0,0.0,0.0
821867fffffffff,165.0,0.0,34.0,0.0
82186ffffffffff,342.0,0.0,25.0,0.0
821877fffffffff,344.0,0.0,39.0,0.0
82190ffffffffff,546.0,0.0,28.0,0.0
82192ffffffffff,88.0,0.0,45.0,0.0
821947fffffffff,8589.0,0.0,1797.0,0.0
82194ffffffffff,7518.0,0.0,829.0,0.0
821957fffffffff,1692.0,0.0,383.0,0.0
82195ffffffffff,6964.0,0.0,728.0,0.0
82196ffffffffff,1118.0,5.0,51.0,0.0
821977fffffffff,927.0,0.0,39.0,0.0
821e07fffffffff,2004.0,28.0,28.0,0.0
821e0ffffffffff,791.0,4.0,2.0,0.0
821e17fffffffff,727.0,2.0,6.0,0.0
821e1ffffffffff,762.0,6.0,4.0,0.0
821e27fffffffff,459.0,28.0,9.0,0.0
821e2ffffffffff,295.0,9.0,6.0,0.0
821e37fffffffff,1671.0,5.0,9.0,0.0
821e47fffffffff,37.0,0.0,3.0,0.0
821e4ffffffffff,9.0,0.0,0.0,0.0
821e57fffffffff,40.0,0.0,0.0,0.0
821e5ffffffffff,103.0,0.0,0.0,0.0
821e67fffffffff,130.0,0.0,0.0,0.0
821e6ffffffffff,68.0,0.0,0.0,0.0
821e77fffffffff,33.0,0.0,0.0,0.0
821e87fffffffff,276.0,0.0,0.0,0.0
821e8ffffffffff,8.0,0.0,0.0,0.0
821e9ffffffffff,14.0,0.0,0.0,0.0
821ea7fffffffff,378.0,0.0,10.0,0.0
821eaffffffffff,77.0,0.0,2.0,0.0
821eb7fffffffff,235.0,0.0,0.0,31.0
821ec7fffffffff,1212.0,0.0,58.0,0.0
821ecffffffffff,1433.0,0.0,19.0,6.0
821ed7fffffffff,292.0,0.0,7.0,0.0
821edffffffffff,308.0,0.0,4.0,3.0
821ee7fffffffff,181.0,0.0,0.0,0.0
821eeffffffffff,135.0,0.0,11.0,0.0
821ef7fffffffff,208.0,0.0,0.0,0.0
821f07fffffffff,242.0,12.0,11.0,0.0
821f0ffffffffff,57.0,0.0,0.0,0.0
821f17fffffffff,502.0,1.0,37.0,0.0
821f1ffffffffff,637.0,0.0,47.0,0.0
821f27fffffffff,114.0,15.0,2.0,0.0
821f2ffffffffff,184.0,14.0,2.0,0.0
821f37fffffffff,35.0,1.0,4.0,0.0
821f47fffffffff,39.0,0.0,0.0,0.0
821f4ffffffffff,114.0,0.0,0.0,0.0
821f57fffffffff,202.0,2.0,1.0,0.0
821f5ffffffffff,141.0,13.0,0.0,0.0
821f67fffffffff,85.0,6.0,0.0,0.0
821f6ffffffffff,10.0,2.0,0.0,0.0
821f77fffffffff,119.0,3.0,0.0,0.0
821f87fffffffff,1305.0,0.0,68.0,0.0
821f8ffffffffff,990.0,6.0,98.0,0.0
821f97fffffffff,294.0,0.0,77.0,0.0
821f9ffffffffff,875.0,0.0,45.0,0.0
821fa7fffffffff,951.0,0.0,20.0,0.0
821faffffffffff,1344.0,0.0,27.0,0.0
821fb7fffffffff,670.0,0.0,61.0,0.0
82204ffffffffff,19.0,2.0,0.0,0.0
82206ffffffffff,6.0,4.0,0.0,0.0
8220e7fffffffff,7.0,3.0,0.0,0.0
822127fffffffff,1.0,0.0,0.0,0.0
822407fffffffff,6.0,0.0,0.0,0.0
82240ffffffffff,1.0,0.0,0.0,0.0
822427fffffffff,6.0,0.0,0.0,0.0
82242ffffffffff,9.0,0.0,0.0,0.0
822467fffffffff,10.0,0.0,0.0,0.0
822507fffffffff,2.0,0.0,0.0,0.0
822517fffffffff,9.0,0.0,0.0,0.0
822537fffffffff,3.0,0.0,0.0,0.0
822547fffffffff,46.0,31.0,0.0,0.0
82255ffffffffff,159.0,0.0,0.0,0.0
822577fffffffff,22.0,0.0,0.0,0.0
8225affffffffff,6.0,0.0,0.0,0.0
8225b7fffffffff,4.0,0.0,0.0,0.0
822c07fffffffff,170.0,0.0,0.0,42.0
822c0ffffffffff,53.0,0.0,0.0,0.0
822c17fffffffff,15.0,0.0,0.0,0.0
822c1ffffffffff,65.0,0.0,0.0,0.0
822c27fffffffff,214.0,0.0,0.0,9.0
822c2ffffffffff,328.0,0.0,0.0,5.0
822c37fffffffff,3.0,0.0,0.0,0.0
