cell_id,Rauenia bonariensis,Rauenia bonariensis darwinii,Rauenia bonariensis [bonariensis Group]
8266d7fffffffff,2539.0,92.0,0.0
8266dffffffffff,43.0,2.0,0.0
828b27fffffffff,739.0,0.0,58.0
828b2ffffffffff,286.0,0.0,9.0
828b67fffffffff,1923.0,25.0,0.0
828b6ffffffffff,451.0,2.0,0.0
828e67fffffffff,735.0,0.0,0.0
828e6ffffffffff,373.0,0.0,0.0
828f2ffffffffff,127.0,19.0,0.0
828f47fffffffff,17.0,0.0,0.0
828f57fffffffff,649.0,5.0,0.0
828f5ffffffffff,286.0,0.0,0.0
828f77fffffffff,161.0,10.0,0.0
82a807fffffffff,130.0,0.0,6.0
82a817fffffffff,38.0,0.0,0.0
82a81ffffffffff,11.0,0.0,0.0
82a827fffffffff,54.0,0.0,0.0
82a82ffffffffff,27.0,0.0,0.0
82a837fffffffff,40.0,0.0,0.0
82a86ffffffffff,10.0,0.0,0.0
82a907fffffffff,166.0,0.0,7.0
82a90ffffffffff,165.0,0.0,5.0
82a91ffffffffff,150.0,0.0,7.0
82a927fffffffff,8.0,0.0,0.0
82a92ffffffffff,704.0,0.0,2.0
82a947fffffffff,154.0,0.0,0.0
82a94ffffffffff,111.0,0.0,0.0
82a957fffffffff,213.0,0.0,2.0
82a967fffffffff,247.0,0.0,19.0
82a96ffffffffff,35.0,0.0,0.0
82a977fffffffff,101.0,0.0,0.0
82b20ffffffffff,120.0,0.0,0.0
82b22ffffffffff,23.0,0.0,0.0
82b247fffffffff,1460.0,0.0,0.0
82b24ffffffffff,524.0,0.0,0.0
82b257fffffffff,83.0,0.0,0.0
82b25ffffffffff,1729.0,0.0,0.0
82b267fffffffff,624.0,0.0,0.0
82b26ffffffffff,123.0,0.0,0.0
82b277fffffffff,483.0,0.0,0.0
82b2cffffffffff,45.0,0.0,0.0
82b2e7fffffffff,87.0,0.0,0.0
82b2effffffffff,540.0,0.0,0.0
82b307fffffffff,946.0,0.0,0.0
82b327fffffffff,114.0,1.0,0.0
82b32ffffffffff,49.0,0.0,4.0
82b337fffffffff,117.0,0.0,0.0
82b347fffffffff,569.0,0.0,0.0
82b34ffffffffff,256.0,0.0,0.0
82b357fffffffff,799.0,0.0,0.0
82b35ffffffffff,2776.0,0.0,0.0
82b367fffffffff,119.0,0.0,1.0
82b36ffffffffff,82.0,0.0,0.0
82b377fffffffff,163.0,0.0,0.0
82c207fffffffff,26.0,0.0,0.0
82c21ffffffffff,246.0,0.0,0.0
82c227fffffffff,2.0,0.0,0.0
82c22ffffffffff,31.0,0.0,0.0
82c2c7fffffffff,1085.0,0.0,1.0
82c2cffffffffff,446.0,0.0,0.0
82c2d7fffffffff,628.0,0.0,6.0
82c2dffffffffff,136.0,0.0,3.0
82c2e7fffffffff,1491.0,0.0,3.0
82c2effffffffff,67.0,0.0,0.0
82c2f7fffffffff,1684.0,0.0,4.0
82c30ffffffffff,9.0,0.0,0.0
82c327fffffffff,5.0,0.0,0.0
82c32ffffffffff,261.0,0.0,0.0
82c347fffffffff,164.0,0.0,0.0
82c34ffffffffff,7.0,0.0,0.0
82c357fffffffff,107.0,0.0,0.0
82c367fffffffff,172.0,0.0,0.0
82c36ffffffffff,45.0,0.0,0.0
82c377fffffffff,225.0,0.0,0.0
82ce87fffffffff,7.0,0.0,0.0
82ce97fffffffff,223.0,0.0,0.0
82ce9ffffffffff,107.0,0.0,0.0
