cell_id,Astur bicolor,Astur bicolor bicolor/fidens,Astur bicolor pileatus/guttifer
824507fffffffff,8.0,0.0,0.0
82450ffffffffff,10.0,0.0,0.0
824527fffffffff,4.0,0.0,0.0
82452ffffffffff,59.0,0.0,0.0
824537fffffffff,35.0,0.0,0.0
825f47fffffffff,1.0,0.0,0.0
82660ffffffffff,2.0,0.0,0.0
82661ffffffffff,14.0,0.0,0.0
82662ffffffffff,1.0,1.0,0.0
826657fffffffff,3.0,0.0,0.0
8266a7fffffffff,9.0,0.0,0.0
8266b7fffffffff,58.0,1.0,0.0
8266d7fffffffff,7.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0
826747fffffffff,1.0,0.0,0.0
82674ffffffffff,2.0,0.0,0.0
826757fffffffff,3.0,0.0,0.0
82675ffffffffff,13.0,0.0,0.0
826d27fffffffff,2.0,1.0,0.0
826d2ffffffffff,4.0,0.0,0.0
826d37fffffffff,11.0,0.0,0.0
826d67fffffffff,5.0,0.0,0.0
826d6ffffffffff,4.0,0.0,0.0
828b27fffffffff,2.0,0.0,2.0
828b2ffffffffff,1.0,1.0,0.0
828b6ffffffffff,5.0,0.0,0.0
828f0ffffffffff,3.0,0.0,0.0
828f2ffffffffff,2.0,2.0,0.0
828f47fffffffff,2.0,0.0,0.0
828f4ffffffffff,8.0,0.0,0.0
82a8d7fffffffff,1.0,0.0,1.0
82a92ffffffffff,4.0,0.0,0.0
82a947fffffffff,11.0,0.0,0.0
82a957fffffffff,34.0,0.0,0.0
82a967fffffffff,16.0,0.0,0.0
82a96ffffffffff,3.0,0.0,0.0
82a977fffffffff,5.0,0.0,0.0
82b24ffffffffff,3.0,0.0,0.0
82b25ffffffffff,2.0,0.0,0.0
82b26ffffffffff,9.0,0.0,0.0
82b277fffffffff,2.0,0.0,0.0
82b35ffffffffff,3.0,0.0,0.0
82c2c7fffffffff,23.0,0.0,5.0
82c2cffffffffff,17.0,0.0,0.0
82c2d7fffffffff,1.0,0.0,0.0
