cell_id,Dicaeum trigonostigma,Dicaeum trigonostigma [trigonostigma Group],Dicaeum trigonostigma xanthopygium/dorsale,Dicaeum trigonostigma [sibuyanicum Group],Dicaeum trigonostigma [cinereigulare Group],Dicaeum trigonostigma sibutuense/assimile
823cd7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
823cf7fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
826417fffffffff,126.0,0.0,0.0,0.0,0.0,0.0
826427fffffffff,75.0,0.0,0.0,0.0,0.0,0.0
826437fffffffff,927.0,0.0,0.0,0.0,0.0,0.0
826487fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8264a7fffffffff,64.0,0.0,0.0,0.0,0.0,0.0
826507fffffffff,794.0,0.0,0.0,0.0,0.0,0.0
82650ffffffffff,30.0,0.0,0.0,0.0,0.0,0.0
82651ffffffffff,1024.0,0.0,0.0,0.0,0.0,0.0
826527fffffffff,1489.0,0.0,0.0,0.0,0.0,0.0
82652ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0
826537fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
826557fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
826577fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
82658ffffffffff,35.0,0.0,0.0,0.0,0.0,0.0
826807fffffffff,81.0,0.0,0.0,0.0,0.0,0.0
826817fffffffff,518.0,0.0,0.0,0.0,0.0,0.0
82681ffffffffff,1072.0,0.0,0.0,0.0,0.0,0.0
826847fffffffff,188.0,0.0,0.0,0.0,0.0,0.0
82684ffffffffff,287.0,0.0,0.0,0.0,0.0,0.0
826857fffffffff,46.0,0.0,0.0,0.0,0.0,0.0
82685ffffffffff,519.0,0.0,0.0,0.0,0.0,0.0
826867fffffffff,72.0,0.0,0.0,0.0,0.0,0.0
82686ffffffffff,26.0,0.0,0.0,0.0,0.0,0.0
826877fffffffff,139.0,0.0,0.0,0.0,0.0,0.0
82688ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
826897fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82689ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8268a7fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8268affffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8268b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8268e7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
826947fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
82694ffffffffff,363.0,0.0,0.0,0.0,0.0,0.0
82695ffffffffff,27.0,0.0,0.0,0.0,0.0,0.0
82696ffffffffff,71.0,0.0,0.0,0.0,0.0,0.0
828c17fffffffff,112.0,0.0,0.0,0.0,0.0,0.0
828c1ffffffffff,20.0,0.0,0.0,0.0,0.0,0.0
828c87fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
828c97fffffffff,85.0,0.0,0.0,0.0,0.0,0.0
828caffffffffff,49.0,0.0,0.0,0.0,0.0,0.0
828cc7fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
828cd7fffffffff,47.0,0.0,0.0,0.0,0.0,0.0
828cdffffffffff,20.0,0.0,0.0,0.0,0.0,0.0
828d8ffffffffff,27.0,0.0,0.0,0.0,0.0,0.0
828da7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
828db7fffffffff,73.0,0.0,0.0,0.0,0.0,0.0
8295a7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
