cell_id,Quiscalus major,Quiscalus major major,Quiscalus major torreyi/alabamensis,Quiscalus major westoni
822a17fffffffff,18205.0,0.0,0.0,0.0
822aaffffffffff,28069.0,0.0,954.0,0.0
822ad7fffffffff,7758.0,0.0,0.0,0.0
822af7fffffffff,18009.0,0.0,0.0,0.0
824417fffffffff,20715.0,0.0,0.0,649.0
82441ffffffffff,32270.0,0.0,0.0,2148.0
824447fffffffff,8841.0,0.0,0.0,0.0
824457fffffffff,6976.0,0.0,2.0,0.0
824467fffffffff,2904.0,0.0,0.0,0.0
82446ffffffffff,17383.0,292.0,0.0,0.0
824477fffffffff,5025.0,0.0,0.0,0.0
8244a7fffffffff,19044.0,0.0,0.0,1120.0
8244affffffffff,71727.0,0.0,0.0,3545.0
8244b7fffffffff,324.0,0.0,0.0,0.0
8244c7fffffffff,13.0,0.0,0.0,0.0
8244d7fffffffff,28300.0,0.0,0.0,0.0
8244e7fffffffff,7862.0,0.0,0.0,458.0
8244f7fffffffff,36572.0,0.0,532.0,825.0
824897fffffffff,6066.0,2.0,0.0,0.0
