cell_id,Cinnyris notatus,Cinnyris notatus moebii,Cinnyris notatus voeltzkowi,Cinnyris notatus notatus
84a2049ffffffff,3.0,0.0,0.0,0.0
84a204dffffffff,2.0,0.0,0.0,0.0
84a210dffffffff,2.0,0.0,0.0,0.0
84a2143ffffffff,285.0,0.0,0.0,0.0
84a2147ffffffff,1.0,0.0,0.0,0.0
84a214bffffffff,5.0,0.0,0.0,0.0
84a215dffffffff,8.0,0.0,0.0,0.0
84a2221ffffffff,1.0,0.0,0.0,0.0
84a2227ffffffff,166.0,0.0,0.0,0.0
84a2235ffffffff,6.0,0.0,0.0,0.0
84a2303ffffffff,1.0,0.0,0.0,0.0
84a2307ffffffff,11.0,0.0,0.0,0.0
84a230bffffffff,1.0,0.0,0.0,0.0
84a2319ffffffff,10.0,0.0,0.0,0.0
84a231bffffffff,337.0,0.0,0.0,0.0
84a231dffffffff,1.0,0.0,0.0,0.0
84a2335ffffffff,1.0,0.0,0.0,0.0
84a233dffffffff,2.0,0.0,0.0,0.0
84a2347ffffffff,1.0,0.0,0.0,0.0
84a2353ffffffff,7.0,0.0,0.0,0.0
84a2357ffffffff,58.0,0.0,0.0,0.0
84a2a49ffffffff,11.0,0.0,0.0,0.0
84a2ae1ffffffff,3.0,0.0,0.0,0.0
84a2ae9ffffffff,3.0,0.0,0.0,0.0
84a2aedffffffff,18.0,0.0,0.0,0.0
84a3083ffffffff,2.0,0.0,0.0,0.0
84a3085ffffffff,1.0,0.0,0.0,0.0
84a308bffffffff,18.0,0.0,0.0,0.0
84a3091ffffffff,9.0,0.0,0.0,0.0
84a3093ffffffff,22.0,0.0,0.0,0.0
84a30c1ffffffff,1.0,0.0,0.0,0.0
84a30c3ffffffff,2.0,0.0,0.0,0.0
84a30cbffffffff,1.0,0.0,0.0,0.0
84a30ddffffffff,1.0,0.0,0.0,0.0
84a30e7ffffffff,3.0,0.0,0.0,0.0
84a318bffffffff,2.0,0.0,0.0,0.0
84a3191ffffffff,2.0,0.0,0.0,0.0
84a3199ffffffff,2.0,0.0,0.0,0.0
84a319dffffffff,101.0,0.0,0.0,0.0
84a31b1ffffffff,2.0,0.0,0.0,0.0
84a31b3ffffffff,2.0,0.0,0.0,0.0
84a31bbffffffff,1.0,0.0,0.0,0.0
84a31d5ffffffff,15.0,0.0,0.0,0.0
84a3311ffffffff,1.0,0.0,0.0,0.0
84a3319ffffffff,9.0,0.0,0.0,0.0
84a331dffffffff,8.0,0.0,0.0,0.0
84a3351ffffffff,27.0,0.0,0.0,0.0
84a3357ffffffff,5.0,0.0,0.0,0.0
84a3563ffffffff,1.0,0.0,0.0,0.0
84a3565ffffffff,1.0,0.0,0.0,0.0
84a3567ffffffff,32.0,0.0,0.0,0.0
84a356dffffffff,6.0,0.0,0.0,0.0
84a372dffffffff,2.0,0.0,0.0,0.0
84a3761ffffffff,3.0,0.0,0.0,0.0
84a3765ffffffff,5.0,0.0,0.0,0.0
84a38b3ffffffff,33.0,0.0,0.0,0.0
84a38b7ffffffff,7.0,0.0,0.0,0.0
84a38c7ffffffff,2.0,0.0,0.0,0.0
84a38cbffffffff,4.0,0.0,0.0,0.0
84a38ddffffffff,1.0,0.0,0.0,0.0
84a3993ffffffff,7.0,0.0,0.0,0.0
84a3999ffffffff,1.0,0.0,0.0,0.0
84a399bffffffff,54.0,0.0,0.0,0.0
84a3a95ffffffff,1.0,0.0,0.0,0.0
84a3ab3ffffffff,1.0,0.0,0.0,0.0
84a3ab7ffffffff,13.0,0.0,0.0,0.0
84a3abbffffffff,3.0,0.0,0.0,0.0
84a3ad7ffffffff,1.0,0.0,0.0,0.0
84a3addffffffff,2.0,0.0,0.0,0.0
