cell_id,Taeniopygia guttata,Taeniopygia guttata guttata,Taeniopygia guttata castanotis
841e0a9ffffffff,2.0,0.0,0.0
842688dffffffff,2.0,0.0,0.0
842830dffffffff,2.0,0.0,0.0
8429a0bffffffff,2.0,0.0,0.0
8429a1dffffffff,4.0,0.0,0.0
8429a55ffffffff,1.0,0.0,0.0
8429a57ffffffff,27.0,0.0,0.0
8429addffffffff,2.0,0.0,0.0
843824bffffffff,1.0,0.0,0.0
8439101ffffffff,3.0,0.0,0.0
843931bffffffff,1.0,0.0,0.0
8439337ffffffff,2.0,0.0,0.0
84395c9ffffffff,1.0,0.0,0.0
844416bffffffff,2.0,0.0,0.0
84441a9ffffffff,6.0,0.0,0.0
84441abffffffff,1.0,0.0,0.0
844509bffffffff,3.0,0.0,0.0
844ba0bffffffff,1.0,0.0,0.0
846520dffffffff,2.0,0.0,0.0
849451dffffffff,7.0,0.0,3.0
8494811ffffffff,2.0,0.0,2.0
84a7359ffffffff,2.0,0.0,2.0
84b9b41ffffffff,2.0,0.0,2.0
84b9b51ffffffff,2.0,0.0,0.0
84be45bffffffff,2.0,0.0,0.0
84be493ffffffff,2.0,0.0,0.0
84be4e9ffffffff,2.0,0.0,0.0
84be54dffffffff,2.0,0.0,0.0
84be631ffffffff,36.0,0.0,30.0
84be633ffffffff,1.0,0.0,0.0
84be6edffffffff,2.0,0.0,0.0
84be717ffffffff,2.0,0.0,2.0
84be725ffffffff,2.0,0.0,0.0
84be72dffffffff,19.0,0.0,0.0
84be731ffffffff,1.0,0.0,0.0
84be8dbffffffff,3.0,0.0,1.0
84bece9ffffffff,1.0,0.0,0.0
84bef09ffffffff,2.0,0.0,0.0
