cell_id,Thripophaga fusciceps,Thripophaga fusciceps dimorpha,Thripophaga fusciceps obidensis,Thripophaga fusciceps fusciceps
848a003ffffffff,29.0,0.0,2.0,0.0
848a01dffffffff,1.0,0.0,0.0,0.0
848a6d3ffffffff,1.0,0.0,0.0,0.0
848a6d9ffffffff,1.0,0.0,0.0,0.0
848a8c1ffffffff,5.0,0.0,0.0,0.0
848a8c7ffffffff,2.0,0.0,0.0,0.0
848a8cbffffffff,4.0,0.0,1.0,0.0
848a8cdffffffff,20.0,0.0,7.0,0.0
848a8e1ffffffff,2.0,0.0,0.0,0.0
848aab1ffffffff,3.0,0.0,0.0,0.0
848aab5ffffffff,12.0,0.0,6.0,0.0
848aacbffffffff,2.0,0.0,0.0,0.0
848aad3ffffffff,2.0,0.0,0.0,0.0
848aadbffffffff,2.0,0.0,0.0,0.0
848b08bffffffff,3.0,0.0,0.0,0.0
848b0c1ffffffff,8.0,0.0,0.0,0.0
848b0c3ffffffff,1.0,0.0,0.0,0.0
848b0c9ffffffff,89.0,0.0,0.0,0.0
848b0cdffffffff,10.0,0.0,0.0,0.0
848b0d9ffffffff,5.0,0.0,0.0,0.0
848b2a1ffffffff,1.0,0.0,0.0,0.0
848b2a5ffffffff,2.0,0.0,0.0,0.0
848b2a7ffffffff,32.0,0.0,0.0,0.0
848b40dffffffff,9.0,0.0,0.0,0.0
848b44bffffffff,54.0,0.0,0.0,0.0
848b44dffffffff,1.0,0.0,0.0,0.0
848b617ffffffff,168.0,0.0,0.0,0.0
848b627ffffffff,8.0,0.0,0.0,0.0
848b633ffffffff,7.0,0.0,0.0,0.0
848b637ffffffff,79.0,0.0,0.0,0.0
848b639ffffffff,1.0,0.0,0.0,0.0
848b63bffffffff,176.0,0.0,0.0,0.0
848b6e5ffffffff,1.0,0.0,0.0,0.0
848b6edffffffff,3.0,0.0,0.0,0.0
848b713ffffffff,14.0,1.0,0.0,0.0
848b71bffffffff,8.0,0.0,0.0,0.0
848f633ffffffff,1.0,0.0,0.0,0.0
