cell_id,Pheugopedius euophrys,Pheugopedius euophrys euophrys,Pheugopedius euophrys longipes/atriceps
8466d03ffffffff,8.0,0.0,0.0
8466d1dffffffff,4.0,0.0,0.0
8466d31ffffffff,1631.0,0.0,0.0
8466d33ffffffff,130.0,0.0,0.0
8466d35ffffffff,12.0,0.0,0.0
8466d37ffffffff,74.0,0.0,0.0
8466d39ffffffff,52.0,0.0,0.0
8466d3bffffffff,8.0,0.0,0.0
8466d3dffffffff,5.0,0.0,0.0
8466de1ffffffff,1116.0,0.0,0.0
8466de5ffffffff,20.0,0.0,0.0
8466dedffffffff,473.0,0.0,0.0
848f291ffffffff,8.0,0.0,0.0
848f29bffffffff,2.0,0.0,0.0
848f2bbffffffff,6.0,0.0,0.0
848f2cbffffffff,2.0,0.0,0.0
848f2d3ffffffff,26.0,0.0,0.0
848f2d5ffffffff,7.0,0.0,0.0
848f2d9ffffffff,9.0,0.0,0.0
848f2ddffffffff,13.0,0.0,0.0
848f541ffffffff,9.0,0.0,0.0
848f549ffffffff,5.0,0.0,0.0
848f54bffffffff,15.0,0.0,0.0
848f54dffffffff,16.0,0.0,0.0
848f721ffffffff,461.0,0.0,0.0
848f725ffffffff,1.0,0.0,0.0
848f727ffffffff,13.0,0.0,0.0
848f729ffffffff,1.0,0.0,0.0
848f72dffffffff,79.0,0.0,0.0
848f745ffffffff,8.0,0.0,0.0
848f761ffffffff,1.0,0.0,0.0
848f763ffffffff,1.0,0.0,0.0
848f767ffffffff,108.0,0.0,0.0
848f769ffffffff,23.0,0.0,0.0
848f76bffffffff,5.0,0.0,0.0
