cell_id,Sicalis flaveola,Sicalis flaveola [flaveola Group],Sicalis flaveola pelzelni
8445b21ffffffff,6.0,0.0,0.0
8445b23ffffffff,58.0,0.0,0.0
8445b27ffffffff,18.0,0.0,0.0
8445b29ffffffff,2.0,0.0,0.0
8445b2bffffffff,9.0,0.0,0.0
8445b2dffffffff,5.0,0.0,0.0
8446483ffffffff,659.0,0.0,0.0
8446487ffffffff,45.0,0.0,0.0
8446495ffffffff,195.0,0.0,0.0
84464b9ffffffff,370.0,0.0,0.0
84464e1ffffffff,38.0,0.0,0.0
84464e3ffffffff,15.0,0.0,0.0
84464e5ffffffff,90.0,0.0,0.0
84464e7ffffffff,295.0,0.0,0.0
844cc09ffffffff,3.0,0.0,0.0
844cc43ffffffff,46.0,0.0,0.0
844cc51ffffffff,7.0,0.0,0.0
844cc55ffffffff,8.0,0.0,0.0
844cc59ffffffff,401.0,0.0,0.0
844cc5bffffffff,71.0,0.0,0.0
844cc5dffffffff,18.0,0.0,0.0
844cea9ffffffff,6.0,0.0,0.0
844cee3ffffffff,2.0,0.0,0.0
844cee5ffffffff,281.0,0.0,0.0
844cee7ffffffff,137.0,0.0,0.0
845d101ffffffff,2532.0,0.0,0.0
845d103ffffffff,194.0,0.0,0.0
845d105ffffffff,390.0,0.0,0.0
845d107ffffffff,3087.0,0.0,0.0
845d115ffffffff,906.0,0.0,0.0
845d11dffffffff,87.0,0.0,0.0
845d131ffffffff,263.0,0.0,0.0
845d139ffffffff,264.0,0.0,0.0
845d13bffffffff,2.0,0.0,0.0
845d13dffffffff,253.0,0.0,0.0
845d16bffffffff,10.0,0.0,0.0
845e659ffffffff,3.0,0.0,0.0
845f095ffffffff,2.0,0.0,0.0
845f299ffffffff,15.0,0.0,0.0
845f2d3ffffffff,3.0,0.0,0.0
845f401ffffffff,3.0,0.0,0.0
845f403ffffffff,50.0,0.0,0.0
845f405ffffffff,2.0,0.0,0.0
845f407ffffffff,24.0,2.0,0.0
845f40dffffffff,3.0,0.0,0.0
